ILOC_CODE_2016,M_Ind_15_19_PD_GD_GCL,M_Ind_15_19_BDL,M_Ind_15_19_ADip_DipL,M_Ind_15_19_Ct_III_IV,M_Ind_15_19_Ct_I_II,M_Ind_15_19_CL_nfd,M_Ind_15_19_LoE_NS,M_Ind_15_19_Tot,M_Ind_20_24_PD_GD_GCL,M_Ind_20_24_BDL,M_Ind_20_24_ADip_DipL,M_Ind_20_24_Ct_III_IV,M_Ind_20_24_Ct_I_II,M_Ind_20_24_CL_nfd,M_Ind_20_24_LoE_NS,M_Ind_20_24_Tot,M_Ind_25_34_PD_GD_GCL,M_Ind_25_34_BDL,M_Ind_25_34_ADip_DipL,M_Ind_25_34_Ct_III_IV,M_Ind_25_34_Ct_I_II,M_Ind_25_34_CL_nfd,M_Ind_25_34_LoE_NS,M_Ind_25_34_Tot,M_Ind_35_44_PD_GD_GCL,M_Ind_35_44_BDL,M_Ind_35_44_ADip_DipL,M_Ind_35_44_Ct_III_IV,M_Ind_35_44_Ct_I_II,M_Ind_35_44_CL_nfd,M_Ind_35_44_LoE_NS,M_Ind_35_44_Tot,M_Ind_45_54_PD_GD_GCL,M_Ind_45_54_BDL,M_Ind_45_54_ADip_DipL,M_Ind_45_54_Ct_III_IV,M_Ind_45_54_Ct_I_II,M_Ind_45_54_CL_nfd,M_Ind_45_54_LoE_NS,M_Ind_45_54_Tot,M_Ind_55_64_PD_GD_GCL,M_Ind_55_64_BDL,M_Ind_55_64_ADip_DipL,M_Ind_55_64_Ct_III_IV,M_Ind_55_64_Ct_I_II,M_Ind_55_64_CL_nfd,M_Ind_55_64_LoE_NS,M_Ind_55_64_Tot,M_Ind_65ov_PtgdDe_GdDp_GdCt,M_Ind_65ov_BDL,M_Ind_65ov_ADip_DipL,M_Ind_65ov_Ct_III_IV,M_Ind_65ov_Ct_I_II,M_Ind_65ov_CL_nfd,M_Ind_65ov_LoE_NS,M_Ind_65ov_Tot,M_Ind_Tot_PD_GD_GCL,M_Ind_Tot_BDL,M_Ind_Tot_ADip_DipL,M_Ind_Tot_Ct_III_IV,M_Ind_Tot_Ct_I_II,M_Ind_tot_CL_nfd,M_Ind_Tot_LoE_NS,M_Ind_Tot_Tot,M_NonI_15_19_PD_GD_GCL,M_NonI_15_19_BDL,M_NonI_15_19_ADip_DipL,M_NonI_15_19_Ct_III_IV,M_NonI_15_19_Ct_I_II,M_NonI_15_19_CL_nfd,M_NonI_15_19_LoE_NS,M_NonI_15_19_Tot,M_NonI_20_24_PD_GD_GCL,M_NonI_20_24_BDL,M_NonI_20_24_ADip_DipL,M_NonI_20_24_Ct_III_IV,M_NonI_20_24_Ct_I_II,M_NonI_20_24_CL_nfd,M_NonI_20_24_LoE_NS,M_NonI_20_24_Tot,M_NonI_25_34_PD_GD_GCL,M_NonI_25_34_BDL,M_NonI_25_34_ADip_DipL,M_NonI_25_34_Ct_III_IV,M_NonI_25_34_Ct_I_II,M_NonI_25_34_CL_nfd,M_NonI_25_34_LoE_NS,M_NonI_25_34_Tot,M_NonI_35_44_PD_GD_GCL,M_NonI_35_44_BDL,M_NonI_35_44_ADip_DipL,M_NonI_35_44_Ct_III_IV,M_NonI_35_44_Ct_I_II,M_NonI_35_44_CL_nfd,M_NonI_35_44_LoE_NS,M_NonI_35_44_Tot,M_NonI_45_54_PD_GD_GCL,M_NonI_45_54_BDL,M_NonI_45_54_ADip_DipL,M_NonI_45_54_Ct_III_IV,M_NonI_45_54_Ct_I_II,M_NonI_45_54_CL_nfd,M_NonI_45_54_LoE_NS,M_NonI_45_54_Tot,M_NonI_55_64_PD_GD_GCL,M_NonI_55_64_BDL,M_NonI_55_64_ADip_DipL,M_NonI_55_64_Ct_III_IV,M_NonI_55_64_Ct_I_II,M_NonI_55_64_CL_nfd,M_NonI_55_64_LoE_NS,M_NonI_55_64_Tot,M_NonI_65ov_PtgdDe_GdDp_GdCt,M_NonI_65ov_BDL,M_NonI_65ov_ADip_DipL,M_NonI_65ov_Ct_III_IV,M_NonI_65ov_Ct_I_II,M_NonI_65ov_CL_nfd,M_NonI_65ov_LoE_NS,M_NonI_65ov_Tot,M_NonI_TotPdDe_GdDp_GdCt,M_NonI_Tot_BDL,M_NonI_Tot_ADip_DipL,M_NonI_Tot_Ct_III_IV,M_NonI_Tot_Ct_I_II,M_NonI_Tot_CL_nfd,M_NonI_Tot_LoE_NS,M_NonI_Tot_Tot,M_IS_NS_15_19_PD_GD_GCLL,M_IS_NS_15_19_BDL,M_IS_NS_15_19_ADip_DipL,M_IS_NS_15_19_Ct_III_IV_L,M_IS_NS_15_19_Ct_I_II,M_IS_NS_15_19_CL_nfd,M_IS_NS_15_19_LoE_NS,M_IS_NS_15_19_Tot,M_IS_NS_20_24_PD_GD_GCLL,M_IS_NS_20_24_BDL,M_IS_NS_20_24_AdDip_and_DipL,M_IS_NS_20_24_Ct_III_IV_L,M_IS_NS_20_24_Ct_I_II,M_IS_NS_20_24_CL_nfd,M_IS_NS_20_24_LoE_NS,M_IS_NS_20_24_Tot,M_IS_NS_25_34_PD_GD_GCLL,M_IS_NS_25_34_BDL,M_IS_NS_25_34_AdDip_and_DipL,M_IS_NS_25_34_Ct_III_IV_L,M_IS_NS_25_34_Ct_I_II_L,M_IS_NS_25_34_CL_nfd,M_IS_NS_25_34_LoE_NS,M_IS_NS_25_34_Tot,M_IS_NS_35_44_PD_GD_GCLL,M_IS_NS_35_44_BDL,M_IS_NS_35_44_ADip_DipL,M_IS_NS_35_44_Ct_III_IV_L,M_IS_NS_35_44_Ct_I_II_L,M_IS_NS_35_44_CL_nfd,M_IS_NS_35_44_LoE_NS,M_IS_NS_35_44_Tot,M_IS_NS_45_54_PdDe_GdDp_GdC,M_IS_NS_45_54_BDL,M_IS_NS_45_54_ADip_DipL,M_IS_NS_45_54_Ct_III_IV_L,M_IS_NS_45_54_Ct_I_II_L,M_IS_NS_45_54_CL_nfd,M_IS_NS_45_54_LoE_NS,M_IS_NS_45_54_Tot,M_IS_NS_55_64_PD_GD_GCL,M_IS_NS_55_64_BDL,M_IS_NS_55_64_ADip_DipL,M_IS_NS_55_64_Ct_III_IV_L,M_IS_NS_55_64_Ct_I_II_L,M_IS_NS_55_64_CL_nfd,M_IS_NS_55_64_LoE_NS,M_IS_NS_55_64_Tot,M_IS_NS_65ov_PD_GD_GCL,M_IS_NS_65ov_BDL,M_IS_NS_65ov_ADip_DipL,M_IS_NS_65ov_Ct_III_IV_L,M_IS_NS_65ov_Ct_I_II,M_IS_NS_65ov_CL_nfd,M_IS_NS_65ov_LoE_NS,M_IS_NS_65ov_Tot,M_IS_NS_TotPdDe_GdDp_GdCt,M_IS_NS_Tot_BDL,M_IS_NS_Tot_ADip_DipL,M_IS_NS_Tot_Ct_III_IV_L,M_IS_NS_Tot_Ct_I_II,M_IS_NS_Tot_CL_nfd,M_IS_NS_Tot_LoE_NS,M_IS_NS_Tot_Tot,M_T_15_19_PD_GD_GCL,M_T_15_19_BDL,M_T_15_19_ADip_DipL,M_T_15_19_Ct_III_IV,M_T_15_19_Ct_I_II,M_T_15_19_CL_nfd,M_T_15_19_LoE_NS,M_T_15_19_Tot
ILOC20101001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,3,0,0,0,13,4,0,0,3,0,0,0,13,0,4,3,4,0,0,0,11,4,0,0,0,0,0,0,11,0,4,0,0,0,0,0,3,10,8,8,15,0,0,3,45,0,0,8,38,19,3,68,144,27,495,140,242,19,27,42,988,407,1281,374,586,15,40,88,2800,972,2146,577,608,23,67,118,4515,1440,2418,775,889,22,82,152,5781,1018,1780,640,775,22,90,161,4483,895,1654,1043,1043,32,169,459,5289,4755,9770,3554,4184,157,482,1092,23994,0,0,0,0,0,0,99,99,0,0,3,0,0,0,119,122,0,3,3,0,0,0,216,234,0,4,0,3,0,0,293,307,5,3,5,6,0,3,374,391,7,4,3,9,0,0,300,322,3,13,14,8,0,0,437,473,11,26,25,22,3,5,1834,1934,0,0,8,38,19,3,165,235
ILOC20101002,0,0,0,4,0,0,0,4,0,6,0,3,0,0,4,7,0,9,3,6,0,0,3,25,7,3,3,0,0,0,3,14,5,6,3,4,0,0,0,16,0,3,0,0,0,0,5,11,0,0,3,0,0,0,5,8,11,22,14,20,0,0,16,86,5,3,33,107,15,12,97,272,156,1625,386,446,42,39,92,2787,2076,4492,824,1061,54,64,197,8769,2357,3766,751,652,21,79,195,7814,2698,3987,927,980,47,126,238,8999,2150,2971,815,721,19,118,237,7029,1809,2840,1316,1094,26,151,616,7851,11252,19678,5052,5062,225,587,1671,43529,0,0,0,0,0,0,189,191,0,5,0,3,0,0,277,288,3,13,3,5,0,0,574,600,5,12,4,3,0,0,435,454,9,14,4,8,0,0,527,560,3,12,4,5,0,0,380,409,5,22,8,7,0,6,566,625,32,76,18,28,0,6,2960,3130,5,3,33,119,15,12,283,466
ILOC20101003,0,0,0,0,0,0,3,3,0,0,3,16,0,0,0,18,3,20,11,8,0,0,4,44,9,6,3,7,0,0,3,28,0,5,5,3,0,0,0,18,0,9,0,4,0,0,0,10,0,0,3,4,0,0,0,5,19,39,21,37,0,0,13,132,0,13,53,134,26,21,133,382,225,2259,594,696,56,64,178,4066,3804,8747,1895,2332,80,185,515,17574,3348,6105,1574,1569,69,168,401,13242,2740,4574,1440,1760,47,211,357,11127,1892,3356,1174,1425,37,207,376,8464,1628,3099,1475,1967,27,246,992,9438,13640,28145,8207,9890,343,1101,2954,64285,0,0,0,0,0,0,250,250,0,13,8,0,0,0,496,515,3,16,8,3,0,0,1543,1577,6,11,3,5,0,3,957,987,5,12,5,8,0,0,788,817,7,12,6,9,0,3,600,642,13,8,16,24,0,0,941,1008,38,67,38,56,4,12,5573,5792,0,13,53,134,26,21,391,628
ILOC20101101,0,0,0,0,0,0,0,3,0,0,4,8,0,0,0,17,0,3,3,8,0,0,0,19,0,4,3,3,0,0,4,9,0,0,0,6,0,0,0,13,0,4,0,8,0,0,0,11,0,0,4,0,0,0,3,5,5,17,12,31,0,4,7,79,0,3,3,63,15,3,47,146,48,386,133,247,17,16,34,883,677,1400,419,712,27,41,112,3389,842,1411,464,594,27,63,109,3509,731,999,409,706,17,69,126,3064,593,806,325,627,12,48,116,2532,517,663,443,905,15,83,382,3008,3410,5681,2194,3865,126,324,932,16533,0,0,0,0,0,0,74,74,0,0,0,0,0,0,94,94,0,3,0,3,0,0,218,232,6,4,0,3,0,0,219,230,0,3,3,5,0,0,191,204,3,3,3,3,0,0,157,170,7,3,7,10,0,0,268,292,12,16,12,27,0,0,1223,1293,0,3,3,63,15,3,122,221
ILOC20101102,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,10,0,0,0,14,0,0,0,3,0,0,0,9,0,0,4,11,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,11,26,0,0,4,45,0,5,12,85,18,3,68,194,73,743,261,380,31,30,73,1591,915,2250,610,818,30,52,179,4851,1155,2104,641,929,24,84,165,5104,1046,1957,846,1449,36,132,198,5669,945,1598,693,1037,21,94,186,4579,814,1509,1165,1963,27,204,753,6429,4937,10160,4244,6659,188,601,1629,28425,0,0,0,0,0,0,103,103,0,4,0,0,0,0,99,106,0,4,3,3,0,0,220,225,3,5,4,0,0,0,214,223,3,10,4,4,0,0,258,278,3,3,0,9,0,3,236,250,4,15,9,28,0,0,472,520,14,39,19,45,0,10,1595,1715,0,5,12,85,18,3,171,301
ILOC20101103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,13,0,3,5,3,0,0,0,9,0,5,0,6,0,0,0,7,0,3,0,4,0,0,0,9,0,0,0,4,0,0,0,4,0,10,9,22,0,0,5,43,0,0,9,102,18,5,71,200,17,240,126,404,17,15,34,852,187,618,289,889,15,31,74,2107,426,950,420,993,18,52,80,2932,522,871,552,1446,22,75,92,3584,533,773,512,1131,19,79,99,3142,370,535,454,966,8,78,202,2612,2050,3985,2365,5923,116,337,654,15437,0,0,0,0,0,0,74,73,3,0,0,3,0,0,69,76,0,3,0,3,0,0,97,104,3,3,0,3,0,0,132,146,0,0,3,9,0,0,203,217,0,0,0,6,0,0,152,162,0,0,4,6,0,0,177,187,10,10,13,37,0,0,907,979,0,0,9,101,18,5,140,278
ILOC20101104,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,3,11,0,3,0,9,0,0,0,13,3,0,0,3,0,0,3,7,0,0,3,3,0,0,0,3,3,5,11,20,4,0,3,50,0,0,3,59,22,3,19,114,16,234,105,312,20,20,36,751,291,898,364,930,17,47,74,2616,495,944,426,926,17,45,94,2954,330,542,387,938,19,54,91,2372,300,486,376,786,17,56,75,2101,212,409,428,1182,16,95,296,2635,1648,3519,2095,5141,123,319,687,13542,0,0,0,0,0,0,33,33,0,0,0,0,0,0,49,48,0,3,0,7,0,0,101,116,0,0,3,7,0,3,122,136,0,0,3,6,0,0,127,131,0,0,0,7,0,0,104,108,3,0,0,14,0,0,145,162,10,8,8,37,0,7,673,737,0,0,3,59,22,3,60,150
ILOC20101201,0,0,0,0,0,0,6,6,0,7,3,3,0,0,3,18,3,15,3,17,0,0,24,54,4,4,3,7,0,3,20,35,7,10,0,6,0,0,9,23,0,4,0,0,0,0,0,10,0,0,0,0,0,0,3,4,18,36,12,28,0,5,60,159,3,27,101,96,24,29,198,483,403,3707,928,412,42,66,370,5945,4067,8974,1608,1128,66,143,584,16558,1870,2613,698,536,33,70,302,6133,934,1189,403,369,17,72,184,3163,712,892,350,306,9,50,114,2437,691,856,309,299,9,49,241,2451,8686,18270,4390,3151,198,479,1991,37167,0,0,0,3,0,0,420,426,0,12,8,3,0,0,1276,1307,9,37,7,7,0,0,2356,2418,5,13,3,5,0,0,1034,1063,5,4,3,4,3,0,597,617,3,0,4,3,0,0,479,492,3,16,8,0,0,0,604,625,22,86,28,24,7,3,6774,6953,3,27,101,102,24,31,621,916
ILOC20101202,0,0,0,0,0,0,3,3,0,3,4,3,0,0,5,16,3,9,5,15,0,3,0,34,0,5,6,7,0,0,0,17,3,6,7,5,0,0,7,17,0,7,0,3,0,0,0,11,0,0,0,3,0,0,3,8,8,23,14,34,0,8,14,107,3,5,15,32,15,3,41,110,48,658,209,328,33,22,72,1376,1718,4396,1135,1497,53,108,261,9169,1567,2934,848,909,52,105,207,6618,1096,1677,616,776,32,90,182,4463,759,1218,475,547,22,89,173,3277,590,990,486,566,23,84,386,3126,5785,11871,3778,4647,235,496,1328,28142,0,0,0,0,0,0,103,106,0,0,3,0,0,0,292,295,0,9,0,9,0,3,1345,1371,0,3,3,3,0,0,865,879,3,6,0,4,0,0,688,706,4,11,4,3,0,0,525,541,0,5,4,6,0,0,561,580,17,36,12,31,3,4,4368,4480,4,8,14,32,15,3,146,217
ILOC20101203,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,10,0,12,5,11,0,0,0,35,0,9,3,6,0,3,0,23,3,3,0,5,0,0,0,19,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,4,10,32,11,28,0,3,6,95,0,7,11,36,5,10,59,123,90,792,201,256,28,25,69,1468,1972,5215,985,1123,55,105,237,9688,1393,2399,550,635,25,68,158,5224,973,1322,379,488,16,57,130,3374,709,865,262,293,9,53,116,2298,606,699,312,318,13,53,256,2251,5741,11304,2688,3152,154,366,1026,24435,0,0,0,0,0,0,113,114,0,0,0,0,0,0,299,300,4,14,3,11,0,0,1092,1124,0,8,3,6,0,0,590,606,9,8,0,3,0,0,438,457,3,4,3,3,0,0,338,354,5,0,0,4,0,0,343,349,19,34,12,26,0,0,3210,3304,0,7,11,34,5,10,173,236
ILOC20101301,0,0,0,3,0,0,8,10,0,0,6,13,0,0,15,34,0,4,4,25,5,0,37,75,0,3,5,11,3,3,19,44,0,0,4,15,0,0,10,28,3,0,7,9,0,0,3,19,0,0,0,6,0,0,4,6,5,9,19,89,4,8,94,225,0,0,27,220,34,21,191,507,28,326,286,923,71,60,250,1938,434,1404,1060,2746,92,147,605,6496,771,1666,1090,2700,88,215,515,7044,332,794,690,2119,52,158,349,4496,225,439,461,1515,33,97,301,3071,114,216,260,1229,18,114,462,2411,1908,4850,3872,11453,378,815,2675,25950,0,0,0,0,0,0,176,185,0,0,0,9,4,0,214,230,3,0,3,11,0,0,492,522,3,0,3,13,0,0,541,565,5,3,3,16,0,0,433,463,3,0,3,11,0,0,329,344,0,3,0,9,0,0,294,308,13,12,16,73,9,3,2484,2609,0,5,27,225,38,21,381,696
ILOC20101401,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,7,0,0,0,7,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,4,15,0,0,3,26,0,0,25,65,11,7,56,166,55,615,262,248,20,20,73,1300,934,1908,501,493,24,35,127,4018,1041,1403,413,411,19,48,115,3447,848,1273,467,627,16,62,124,3410,633,815,361,478,14,49,140,2479,469,773,525,876,20,90,390,3143,3980,6792,2559,3191,123,305,1008,17957,0,0,0,0,0,0,93,93,0,0,3,0,0,0,143,146,6,3,0,0,0,0,254,266,0,6,3,0,0,0,204,214,4,0,0,4,0,0,175,188,0,3,0,0,0,0,162,169,0,3,5,15,0,0,230,256,9,13,13,26,0,3,1256,1327,0,0,25,65,11,7,148,256
ILOC20101402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,6,0,10,0,0,0,19,3,9,52,45,17,11,61,185,92,809,311,227,13,15,74,1547,1199,1782,525,464,22,29,139,4161,713,993,349,436,18,34,113,2663,333,507,247,500,21,43,94,1741,173,315,176,354,9,26,75,1139,120,181,132,431,3,28,253,1147,2628,4597,1800,2449,111,190,807,12589,0,0,0,0,0,0,79,75,0,3,5,3,0,0,170,177,0,6,0,3,0,0,262,273,3,3,0,3,0,0,166,179,0,3,0,0,0,0,113,120,0,3,0,0,0,0,81,85,0,0,0,3,0,0,144,142,3,16,11,14,0,0,1006,1054,3,9,54,46,17,11,135,263
ILOC20101403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,0,4,4,11,0,0,3,24,0,0,5,52,11,0,45,109,31,430,122,164,17,16,40,813,475,1233,327,408,4,29,88,2568,734,1116,325,465,8,33,105,2778,687,908,402,635,16,47,109,2811,459,777,340,495,9,56,98,2235,437,757,621,1053,24,102,368,3354,2823,5224,2139,3276,89,282,854,14680,0,0,0,0,0,0,43,43,0,0,0,0,0,0,61,61,0,5,3,0,0,0,97,98,3,5,0,0,0,0,113,116,0,0,0,0,0,0,120,123,0,3,5,7,0,0,96,109,0,3,7,13,0,0,229,256,8,16,6,14,3,3,763,813,0,0,5,52,9,0,84,154
ILOC20101501,0,0,0,0,0,0,4,5,0,0,3,7,0,0,7,14,0,0,0,8,0,0,3,15,0,0,0,4,0,0,3,7,0,0,0,7,0,4,4,10,0,0,3,5,0,0,0,6,0,0,0,0,0,0,4,3,0,0,5,31,0,3,25,63,0,4,8,107,19,12,107,258,18,231,176,420,59,31,117,1059,279,774,492,995,50,67,328,2985,191,381,308,739,25,65,175,1889,93,236,291,721,28,60,220,1652,76,193,173,609,15,52,182,1295,43,140,141,738,8,45,399,1505,695,1965,1584,4323,210,331,1533,10646,0,0,0,0,0,0,122,123,0,0,3,11,3,0,152,170,0,3,0,10,0,3,312,330,0,0,3,7,0,0,234,245,0,0,0,4,0,0,277,280,0,0,0,8,0,0,206,216,0,0,3,15,0,0,238,253,0,10,13,46,3,3,1546,1624,0,4,8,109,19,12,231,385
ILOC20101502,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,10,0,8,3,8,3,0,3,28,0,0,0,5,0,0,0,6,0,7,0,3,0,0,0,13,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,6,3,18,7,21,3,0,15,72,0,0,9,18,11,7,29,72,75,601,136,217,15,18,51,1103,1222,2631,660,783,41,45,149,5536,932,1399,385,413,26,29,99,3285,490,665,232,337,7,49,68,1848,340,340,148,236,9,32,54,1160,189,222,92,253,3,23,128,909,3242,5853,1655,2256,115,208,578,13907,0,0,0,0,0,0,44,44,0,3,0,0,0,0,136,134,7,9,0,4,0,0,454,469,0,3,0,4,0,0,258,266,4,3,0,0,0,0,137,146,0,0,0,0,0,0,103,113,0,3,0,6,0,0,113,124,11,26,3,19,0,0,1251,1309,0,0,9,18,11,7,74,115
ILOC20101503,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,11,0,7,0,6,0,0,4,18,3,4,0,4,0,0,0,12,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,5,13,7,23,0,0,8,51,0,3,9,45,8,3,37,104,40,321,137,270,23,9,53,843,612,1488,537,706,22,38,139,3547,688,1271,446,663,21,67,98,3254,461,713,363,673,20,57,95,2385,220,360,212,491,8,26,79,1403,99,156,115,511,8,32,234,1147,2125,4310,1818,3361,106,230,733,12683,0,0,0,0,0,0,64,64,0,3,0,0,0,0,91,98,0,3,0,7,0,0,266,275,3,0,0,5,0,0,230,239,0,0,0,3,0,0,178,178,0,0,0,3,0,0,122,128,0,4,0,11,0,0,166,184,6,15,6,26,0,0,1112,1170,0,3,9,46,8,3,101,169
ILOC20101504,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,3,8,0,0,0,14,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,6,0,0,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,12,18,0,0,9,44,0,0,11,51,9,9,62,142,44,308,173,277,27,15,70,909,761,1470,675,836,28,60,204,4033,589,827,429,672,32,51,166,2781,194,331,281,681,20,51,116,1677,125,194,156,484,11,37,103,1106,61,120,135,741,12,48,386,1500,1776,3250,1861,3740,137,265,1105,12136,0,0,0,0,0,0,62,62,0,0,0,3,0,0,106,107,0,3,6,4,0,3,305,322,0,4,0,3,0,0,231,241,3,0,0,6,0,0,145,158,0,0,0,3,0,0,123,123,0,0,0,13,0,3,230,250,5,8,10,35,3,6,1205,1266,0,0,11,57,9,9,126,206
ILOC20101601,0,0,0,4,0,0,3,5,0,0,0,13,0,0,0,10,0,0,0,15,0,3,0,23,0,3,4,9,0,0,3,17,0,0,3,7,0,0,4,11,0,4,3,11,0,0,3,17,0,3,0,3,0,0,0,7,0,8,7,57,0,3,11,99,0,0,6,87,21,5,60,183,9,62,63,443,21,11,30,648,38,189,177,1017,16,22,67,1537,63,175,232,848,13,42,67,1440,96,172,264,926,22,54,73,1605,115,197,254,833,14,55,97,1556,109,228,271,840,7,62,268,1782,433,1029,1265,4997,114,247,669,8750,0,0,0,0,0,0,55,55,0,0,0,3,0,0,73,78,0,0,0,5,0,0,123,126,0,0,0,6,0,0,109,112,0,0,0,3,0,0,147,149,3,0,3,8,0,0,152,165,0,3,0,15,0,0,188,214,7,5,7,35,0,6,843,902,0,0,6,90,21,5,118,245
ILOC20101602,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,4,3,10,0,0,0,19,0,0,0,12,0,0,4,15,0,0,0,13,0,0,3,18,0,3,3,4,0,0,0,5,0,0,3,4,0,0,6,15,3,7,14,40,0,3,15,84,0,0,4,56,8,7,57,129,0,64,43,297,22,18,52,486,55,213,152,848,34,35,74,1408,104,326,224,893,32,54,96,1726,145,315,268,1157,32,55,120,2091,210,415,361,1102,17,71,154,2324,338,744,727,1763,39,151,714,4475,859,2080,1780,6109,177,387,1260,12636,0,0,0,0,0,0,72,72,0,0,0,4,0,0,57,61,0,3,3,8,0,0,113,126,0,4,4,8,0,0,160,173,0,0,0,7,0,0,195,204,0,0,3,16,0,3,199,220,0,3,3,21,0,0,521,546,0,8,14,59,0,3,1311,1398,0,0,8,56,8,7,130,203
ILOC20101603,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,8,0,3,0,4,0,0,0,10,0,0,0,4,0,0,0,3,0,0,0,8,0,0,0,8,0,0,0,4,0,0,0,3,0,7,4,25,0,0,5,44,0,0,10,72,16,9,60,165,7,110,100,293,19,14,25,566,97,355,195,750,15,28,48,1486,264,762,437,993,23,46,93,2622,365,714,532,1225,19,54,125,3030,316,514,428,889,17,75,126,2361,394,833,741,1350,25,127,505,3976,1445,3289,2438,5559,137,354,985,14204,0,0,0,0,0,0,68,68,0,0,0,0,0,0,46,46,0,0,0,0,0,0,82,87,0,0,0,5,0,0,131,136,3,0,0,6,0,0,170,182,0,3,3,8,0,0,170,183,3,5,5,9,0,0,286,302,6,14,12,30,0,0,947,1007,0,0,10,73,16,9,130,234
ILOC20101701,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,10,3,3,3,0,0,24,4,0,3,0,0,0,0,16,3,5,3,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,12,17,11,10,3,3,0,57,0,3,3,33,7,0,25,78,34,348,112,187,20,14,43,747,687,1746,464,616,27,43,108,3683,803,1422,397,438,27,41,97,3210,678,948,319,407,22,39,77,2485,423,470,194,305,7,38,57,1494,179,249,102,318,3,36,222,1109,2804,5176,1588,2305,102,214,619,12809,0,0,0,0,0,0,46,46,0,0,0,0,0,0,91,92,3,4,0,5,0,0,311,327,4,0,3,0,0,0,272,284,0,0,0,0,0,0,173,180,3,0,0,0,0,0,123,130,0,0,4,4,0,0,160,169,11,14,7,16,0,3,1176,1225,0,3,3,33,7,0,74,121
ILOC20101702,0,0,0,3,0,0,3,8,0,3,0,3,0,0,0,11,0,6,6,17,0,0,10,41,0,7,3,9,0,0,3,23,4,3,0,8,0,0,3,17,3,0,0,3,0,0,0,7,0,0,0,3,0,0,6,10,7,18,13,49,0,3,23,118,0,9,22,103,18,6,96,245,72,639,300,413,49,35,112,1623,1326,2481,1069,1177,51,75,251,6421,949,1668,726,1076,46,80,212,4754,472,847,541,1044,33,86,214,3242,291,459,320,795,27,63,196,2151,116,269,193,950,12,57,586,2186,3220,6376,3170,5568,228,406,1664,20631,0,0,0,0,0,0,146,146,0,4,3,7,0,0,241,258,0,13,4,13,0,0,644,673,3,0,3,5,0,0,439,453,0,3,0,3,0,0,344,352,0,0,0,8,0,0,244,254,0,0,4,18,0,0,394,421,5,21,13,51,0,0,2455,2551,0,9,22,107,18,6,244,402
ILOC20101703,0,0,0,6,0,0,7,11,0,0,0,19,0,0,0,26,0,6,5,45,3,4,3,75,0,5,11,19,3,3,6,41,6,0,8,13,0,0,4,43,0,0,0,8,0,0,3,14,0,0,0,0,0,0,3,9,12,18,28,111,7,8,30,217,0,8,38,280,33,13,234,610,78,753,493,1164,84,77,251,2905,1358,2966,2000,3852,129,218,537,11066,1301,2272,1547,3323,124,232,504,9298,584,1141,1048,2930,78,199,419,6392,358,763,660,2144,47,151,387,4515,191,466,458,1955,30,119,729,3940,3866,8364,6235,15649,529,1015,3061,38719,0,0,0,0,0,0,188,191,0,7,3,15,3,0,282,305,3,13,6,20,0,0,721,765,0,9,9,10,0,0,580,608,0,5,7,30,0,0,428,475,0,0,4,20,0,0,366,396,0,4,3,26,0,3,526,556,7,35,29,109,4,8,3096,3290,0,8,38,281,39,13,424,814
