ILOC_CODE_2016,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC70600702,11,29,20,47,131,128,259,3,5,6,0,4,11,134,144,279
ILOC70600703,0,3,3,3,28,33,63,0,0,0,0,0,0,28,33,63
ILOC70600801,18,41,41,84,104,110,214,10,23,31,10,13,18,124,141,264
ILOC70700101,8,34,24,57,79,70,149,3,0,3,10,0,8,84,73,159
ILOC70700201,6,9,11,25,50,64,113,0,0,3,0,4,6,56,66,125
ILOC70700301,10,9,15,20,21,20,44,21,19,40,3,9,10,45,46,91
ILOC70700302,18,16,7,22,5,5,11,12,10,19,17,3,18,28,17,50
ILOC70700303,0,8,5,9,16,9,24,0,3,4,0,0,0,17,14,32
ILOC70700304,26,28,16,52,31,16,52,3,3,5,23,6,31,58,31,83
ILOC70700305,0,16,5,24,20,23,43,0,0,0,0,0,0,20,23,43
ILOC70700401,6,8,6,14,54,47,98,0,5,5,7,3,10,56,61,113
ILOC70700501,3,3,3,8,11,10,21,0,0,0,0,3,3,11,11,25
ILOC70700502,0,0,0,0,7,16,21,0,0,0,0,0,0,7,16,21
ILOC70700503,0,13,6,20,48,39,88,0,0,0,0,0,0,48,39,87
ILOC70700504,216,248,153,401,245,126,376,137,127,265,121,101,222,503,362,858
ILOC70700601,3,23,8,32,45,27,68,0,3,7,3,0,3,47,30,77
ILOC70700602,9,15,15,26,22,34,60,0,0,0,5,3,7,30,40,67
ILOC79499494,355,449,379,822,242,192,437,98,92,188,184,174,361,527,450,986
ILOC79799797,10,12,4,13,0,0,0,3,3,10,12,4,13,16,7,23
ILOC80100101,3957,2510,2522,5031,307,327,632,13067,13460,26524,2061,2029,4093,15431,15823,31251
ILOC80100102,3404,2119,1889,4004,113,115,230,9159,9266,18425,1864,1628,3489,11137,11009,22149
ILOC80100103,2573,1699,1625,3325,211,206,412,10440,10901,21340,1374,1302,2674,12030,12401,24431
ILOC80100201,4278,3206,2919,6127,312,224,543,10992,11007,21997,2257,2129,4383,13565,13360,26925
ILOC80100202,3021,2013,2147,4161,429,432,858,10144,10905,21051,1526,1577,3104,12100,12914,25009
ILOC80100301,330,181,197,379,8,11,20,641,680,1325,168,180,345,811,870,1686
ILOC89499494,52,76,25,105,8,4,14,75,62,139,37,20,56,123,84,211
ILOC89799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC90100101,238,408,113,519,3,0,8,403,164,568,143,98,247,546,266,819
ILOC90100201,22,23,15,35,0,0,3,48,47,99,17,17,32,65,66,131
ILOC90200101,19,20,7,22,9,15,23,18,5,21,17,5,19,38,19,66
ILOC90200102,28,30,34,72,38,35,69,0,0,0,18,13,28,55,45,98
ILOC90300101,84,65,81,140,3,0,4,179,179,356,40,54,94,220,232,446
ILOC99499494,3,0,4,4,0,0,0,7,6,10,0,0,3,7,6,16
ILOC99799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
