ILOC_CODE_2016,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC40200201,241,159,159,321,37,45,84,106,127,231,127,118,240,272,288,557
ILOC40200202,0,0,0,4,5,4,11,0,0,0,0,0,0,5,4,7
ILOC40200301,11,13,13,29,18,25,36,3,0,3,9,5,11,24,28,55
ILOC40200302,0,12,8,19,13,9,23,0,0,3,0,0,0,15,16,29
ILOC40200303,332,241,122,365,24,18,39,96,93,187,216,111,329,334,216,557
ILOC40200304,57,41,35,71,10,9,19,28,22,52,36,21,57,70,51,124
ILOC40200305,293,246,119,364,22,19,43,450,470,913,210,94,302,684,578,1263
ILOC40200401,1636,1244,1213,2455,215,245,461,2929,3152,6083,841,845,1690,3991,4238,8229
ILOC40200402,44,39,46,88,20,30,49,88,98,186,23,22,44,129,145,278
ILOC40200501,3,18,31,51,28,32,66,0,0,0,0,7,3,30,37,66
ILOC40200502,493,889,362,1254,411,247,662,757,488,1241,264,251,516,1436,987,2419
ILOC40200503,80,53,45,102,12,12,21,87,61,146,39,38,82,141,110,248
ILOC40200504,215,170,184,348,121,143,262,270,276,544,107,109,220,496,525,1021
ILOC40200505,78,76,65,142,41,36,73,196,205,402,49,42,88,288,283,569
ILOC40200601,1219,930,942,1869,214,266,476,2270,2521,4790,633,647,1276,3112,3430,6540
ILOC40300101,199,131,156,287,61,77,133,154,179,336,101,110,209,316,361,679
ILOC40300102,0,19,26,50,35,46,81,0,0,0,0,0,0,35,46,81
ILOC40300103,5,30,27,59,42,38,74,33,34,68,3,4,5,78,66,149
ILOC40300104,57,65,50,113,34,34,63,50,63,114,31,26,59,115,123,236
ILOC40300201,871,882,657,1538,118,67,187,1747,1677,3428,473,448,913,2340,2188,4526
ILOC40300202,0,24,23,41,20,23,39,4,0,4,0,0,0,24,23,41
ILOC40300203,49,36,23,58,10,8,18,22,19,42,30,20,53,62,53,117
ILOC40300204,6,22,26,43,35,42,77,4,0,3,3,0,6,39,48,88
ILOC40300301,843,589,590,1176,144,149,294,1273,1439,2717,448,425,872,1872,2008,3881
ILOC49499494,292,403,220,625,62,62,126,305,213,517,184,114,302,552,393,946
ILOC49799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100101,494,445,313,762,266,211,476,240,260,497,270,233,508,776,699,1473
ILOC50100102,412,248,288,534,119,116,240,430,532,960,199,227,429,749,879,1628
ILOC50100103,42,36,28,61,29,20,55,0,4,4,21,17,42,51,39,98
ILOC50100104,535,342,350,691,216,234,445,443,431,875,268,294,560,924,953,1874
ILOC50100201,10,32,23,61,73,69,141,0,0,0,6,3,10,80,71,150
ILOC50100202,16,39,27,68,62,61,123,0,0,0,12,6,16,78,67,140
ILOC50100203,6,13,14,30,85,83,167,0,4,4,3,7,11,92,89,181
ILOC50100206,36,42,28,68,51,52,96,18,18,33,20,16,36,87,78,164
ILOC50200101,626,461,419,881,151,165,312,360,348,707,340,303,640,848,816,1667
ILOC50200102,0,5,0,6,38,26,66,0,0,0,0,0,0,44,26,64
ILOC50200201,159,115,76,189,34,22,61,15,14,34,102,59,159,158,96,252
ILOC50200202,108,69,51,118,15,15,29,31,17,52,56,47,108,98,78,180
ILOC50200301,203,142,125,261,10,5,14,187,224,404,113,96,204,303,324,626
ILOC50200302,61,47,39,88,28,38,60,44,45,83,38,24,64,111,104,210
ILOC50200303,288,212,180,392,35,37,76,243,276,518,160,133,290,435,446,882
ILOC50200401,826,527,538,1068,237,252,487,675,778,1449,429,422,857,1338,1453,2794
ILOC50200402,447,561,364,924,317,163,480,859,953,1816,246,216,463,1423,1327,2753
ILOC50200403,581,439,410,853,162,187,345,776,866,1638,333,273,605,1266,1328,2590
ILOC50200404,640,419,426,848,116,123,244,1224,1474,2699,345,332,679,1690,1925,3618
ILOC50200501,467,365,309,677,73,63,139,711,632,1343,267,223,492,1049,926,1972
ILOC50200601,18,5,15,22,5,9,7,0,0,4,6,15,18,12,24,33
ILOC50200602,188,145,94,235,55,49,102,27,18,45,122,74,188,198,140,342
ILOC50200701,0,8,4,11,29,26,57,3,4,5,0,0,0,30,29,64
ILOC50200702,152,118,74,190,15,6,24,87,88,178,93,56,153,197,158,353
ILOC50300101,911,642,605,1244,113,94,211,1008,1135,2147,509,447,957,1626,1681,3312
ILOC50300102,659,399,369,768,39,44,85,488,497,984,363,314,679,896,853,1751
ILOC50300201,84,52,57,114,29,40,66,50,56,107,45,44,82,124,136,265
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,107,78,35,113,4,0,11,17,18,37,78,36,111,100,53,152
ILOC50300204,284,214,146,364,32,24,56,279,287,566,170,112,290,485,431,908
ILOC50300205,0,0,0,0,16,7,27,0,0,0,0,0,0,16,7,27
ILOC50300206,35,27,33,63,11,18,25,40,41,78,22,22,39,69,79,150
ILOC50300301,2490,1754,1473,3228,421,435,861,3080,3280,6361,1385,1152,2536,4886,4873,9756
ILOC50300302,5,0,3,3,3,4,12,0,0,3,0,4,5,9,7,13
ILOC50300401,0,0,0,0,8,12,14,0,0,0,0,0,0,8,12,14
ILOC50300402,8,8,14,27,33,31,61,0,0,0,3,5,8,32,36,72
ILOC50300403,7,15,16,30,30,16,49,0,0,3,8,4,7,31,20,58
ILOC50300404,201,201,92,293,54,66,118,29,28,57,153,51,208,240,147,382
ILOC50300405,3,0,3,3,16,18,31,0,0,0,0,0,3,19,15,37
ILOC50300406,13,29,27,55,36,31,68,0,0,0,8,6,13,40,41,88
ILOC50300407,4,22,19,45,33,29,66,0,0,0,0,0,4,36,36,68
ILOC50300408,6,22,24,42,41,45,85,0,0,0,0,7,9,46,50,97
ILOC50300501,120,79,57,137,25,21,48,11,18,31,75,45,120,118,86,207
ILOC50300502,232,194,65,255,13,9,26,63,63,127,175,59,232,258,132,389
ILOC50300503,0,8,3,13,21,15,33,0,0,0,0,0,0,21,15,40
ILOC50300601,9,41,43,88,86,75,159,3,14,18,9,3,9,96,93,184
ILOC50300701,124,108,31,140,33,40,66,21,12,28,96,26,124,147,68,221
ILOC50400101,27,19,18,42,23,17,36,9,8,12,16,15,26,42,31,79
ILOC50400102,5,7,4,14,11,8,24,0,0,0,3,0,5,17,12,23
ILOC50400103,7,21,19,36,47,45,93,3,5,9,8,4,7,56,53,111
ILOC50400201,37,66,87,158,64,82,153,0,4,7,14,22,37,83,108,191
ILOC50400202,24,15,10,26,17,14,27,9,3,12,16,12,24,38,29,60
ILOC50400203,3,23,34,57,37,49,83,0,0,0,0,3,3,36,54,88
ILOC50400204,11,32,31,57,39,33,70,0,0,0,4,4,11,43,34,82
ILOC50400205,15,18,16,28,13,10,23,0,0,0,8,7,15,22,22,42
ILOC50400301,139,126,117,242,121,122,242,20,20,35,74,62,139,216,203,416
ILOC50400302,10,14,19,37,37,40,81,0,0,0,3,5,10,41,45,88
ILOC50400303,22,19,39,63,24,39,61,0,0,0,8,14,22,38,53,91
ILOC50400401,28,47,38,88,78,53,139,3,0,5,13,11,28,101,71,166
ILOC50400501,4,11,18,31,52,59,116,0,9,14,0,4,4,55,77,129
ILOC50400601,463,329,323,658,162,197,357,300,338,639,251,225,477,714,760,1473
ILOC50400602,0,3,4,5,14,29,48,0,0,0,0,0,0,14,29,48
ILOC50400603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400701,103,65,66,134,33,39,73,63,86,150,55,47,103,145,170,322
ILOC50400702,44,26,28,55,12,17,27,0,0,7,22,29,44,31,45,83
ILOC50400801,64,40,56,92,54,63,114,17,23,38,25,39,62,96,119,215
ILOC50500101,1020,747,792,1544,115,131,249,1342,1466,2808,518,526,1042,1971,2127,4101
ILOC50500102,1492,1096,956,2058,75,111,187,4931,5425,10355,844,697,1539,5847,6241,12091
ILOC50500103,630,453,462,919,53,61,110,1091,1217,2314,351,293,640,1492,1569,3057
ILOC50500104,466,336,331,662,77,97,168,1405,1364,2770,244,236,476,1722,1696,3415
ILOC50500105,192,149,157,313,24,48,71,476,536,1012,110,94,199,604,675,1279
ILOC50500201,654,468,479,947,74,62,136,1651,1688,3340,344,335,679,2068,2083,4157
ILOC50500301,1330,988,964,1946,86,82,167,3577,3589,7162,723,659,1383,4382,4336,8716
ILOC50500302,1763,1245,1277,2519,67,91,156,3631,3836,7463,917,877,1792,4615,4801,9417
ILOC50500401,1131,799,685,1483,54,51,105,1500,1463,2965,622,523,1146,2181,2042,4215
ILOC50500402,706,459,413,871,44,42,90,869,896,1763,375,336,712,1292,1270,2564
ILOC50500403,443,266,310,575,22,17,44,824,804,1631,205,240,450,1057,1066,2118
ILOC50500404,1144,699,604,1303,49,50,97,1067,1047,2114,628,539,1165,1746,1633,3380
