ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC50701505,6,7,14,0,3,3,8,3,11,3,5,10,4,9,10,7,3,4,3,0,4,4,0,4,10,6,17,0,0,0,40,34,75
ILOC50800101,47,26,78,8,6,16,36,50,79,38,58,96,29,67,95,14,36,51,20,17,38,28,21,50,55,99,157,51,65,120,336,451,783
ILOC50800102,6,3,6,8,3,6,30,18,51,5,6,14,0,3,6,0,3,3,0,0,3,0,0,0,0,3,3,0,0,0,49,47,98
ILOC50800103,4,4,7,8,5,20,52,50,102,10,19,26,6,11,18,6,0,9,4,0,4,0,0,0,0,0,3,12,16,26,107,102,211
ILOC50800201,0,3,5,4,3,3,9,13,15,3,4,9,4,9,10,0,0,0,3,3,6,9,3,8,7,12,23,3,5,12,40,62,100
ILOC50800202,3,0,5,0,0,0,5,8,12,10,4,14,0,4,7,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,22,19,43
ILOC50800203,4,6,11,17,10,24,52,39,93,18,30,49,3,3,6,3,3,5,10,4,11,9,0,11,0,6,11,16,11,25,123,115,242
ILOC50800204,3,3,3,3,5,10,29,30,60,20,27,48,6,3,7,4,0,3,0,0,0,0,0,0,0,0,0,8,3,7,66,75,146
ILOC50800205,12,3,17,0,0,0,16,13,31,33,52,86,0,18,17,8,8,18,5,16,16,10,3,19,18,9,24,16,10,18,123,126,243
ILOC50800301,6,4,6,19,20,37,36,48,91,6,7,17,3,3,7,8,12,21,3,0,3,0,0,0,0,0,0,15,11,28,94,106,202
ILOC50800302,0,0,3,0,0,0,9,3,11,4,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,33
ILOC50800303,3,0,7,0,5,5,13,15,25,18,16,32,0,0,0,0,4,4,0,3,8,3,0,3,0,0,3,4,4,7,52,47,106
ILOC50800304,6,0,6,0,0,0,6,12,19,0,0,0,0,0,3,3,5,6,0,0,3,0,0,0,9,3,10,0,0,0,24,21,42
ILOC50800305,0,0,0,0,0,0,0,0,3,3,0,6,0,4,4,0,0,0,3,0,3,0,0,0,3,0,3,3,3,8,11,13,24
ILOC50800306,7,5,12,0,3,4,30,28,50,7,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,48,53,101
ILOC50800307,3,0,3,0,4,3,21,15,38,29,40,65,0,4,9,0,0,3,0,0,3,5,4,8,5,0,11,6,12,21,76,85,157
ILOC50800308,0,0,3,0,0,0,0,0,0,32,4,38,4,10,12,3,13,15,0,0,3,0,0,0,0,0,0,9,6,14,42,38,80
ILOC50800401,0,0,0,0,0,0,16,10,17,0,3,3,3,3,8,4,3,5,8,0,8,0,3,3,0,0,5,4,0,4,34,19,55
ILOC50800402,0,0,0,0,0,0,7,4,9,3,3,4,3,0,3,3,3,8,3,0,3,0,0,0,0,0,3,6,8,14,21,27,45
ILOC50800403,7,12,25,14,13,24,91,83,177,17,35,48,3,11,16,6,7,14,0,7,6,3,3,6,3,3,5,13,11,19,161,191,349
ILOC50800404,0,5,3,9,4,8,24,27,53,8,10,20,6,3,3,3,3,7,3,0,3,3,0,3,4,0,9,152,31,185,210,86,291
ILOC50800405,3,3,3,0,0,8,22,22,41,6,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,73
ILOC59499494,23,15,39,6,16,28,130,90,217,42,25,69,25,22,46,10,11,20,5,5,15,4,3,6,30,7,33,31,20,48,312,207,524
ILOC59799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,10
ILOC60100101,47,51,96,31,27,57,72,71,148,53,82,131,42,88,130,26,67,100,38,64,108,54,40,96,97,60,155,14,18,37,475,583,1054
ILOC60100102,41,44,83,24,27,46,48,56,105,30,58,93,42,65,109,30,56,88,52,43,95,41,32,70,101,64,166,27,12,40,433,459,885
ILOC60100103,9,15,20,3,4,3,4,9,15,7,7,10,9,4,14,9,7,18,3,5,10,3,3,12,12,5,24,0,0,3,64,64,127
ILOC60100201,3,0,3,0,0,3,3,3,3,4,3,6,3,0,3,7,8,12,0,3,3,0,0,3,3,0,3,4,0,4,28,29,57
ILOC60100202,4,4,10,0,3,3,5,12,13,7,5,11,3,8,8,0,7,10,0,3,3,0,0,0,4,3,4,0,3,3,20,41,64
ILOC60100203,23,13,33,5,10,15,24,26,46,10,23,37,13,18,33,6,22,26,15,20,40,12,12,25,24,20,43,11,10,23,141,171,312
ILOC60100204,6,11,14,0,0,5,3,8,14,9,11,19,11,9,20,7,8,21,9,4,17,9,3,15,12,9,24,3,7,10,69,75,145
ILOC60100205,15,9,26,3,8,10,13,15,27,24,19,46,9,11,17,13,20,32,13,8,19,10,8,19,19,11,27,9,4,17,121,114,229
ILOC60100301,49,42,92,15,30,41,67,71,137,58,66,124,40,72,112,39,70,107,31,41,71,38,42,79,70,49,121,38,27,68,447,506,949
ILOC60100302,66,63,133,41,47,88,59,63,123,62,64,123,58,76,139,46,86,134,54,69,124,46,53,100,150,100,252,97,27,121,681,659,1336
ILOC60100303,64,62,129,29,50,82,93,88,180,91,95,191,66,97,159,54,101,153,60,95,153,93,61,148,117,104,228,43,36,79,703,791,1496
ILOC60100304,27,19,44,14,13,31,34,30,65,22,24,46,19,33,53,18,27,43,18,21,33,17,17,39,72,75,148,12,11,24,265,265,533
ILOC60100401,10,3,17,0,8,8,8,11,13,3,8,11,6,13,19,3,9,15,3,13,15,4,3,12,16,16,24,0,5,7,59,84,139
ILOC60100402,3,3,3,0,3,3,3,3,10,0,0,3,3,7,4,3,5,8,3,3,3,3,0,3,0,0,0,3,3,9,24,31,53
ILOC60100403,42,47,88,19,28,50,44,52,93,43,63,99,35,59,94,13,34,49,42,47,89,47,25,66,103,40,146,27,14,41,408,409,817
ILOC60100501,45,39,86,14,21,37,28,42,72,40,38,73,34,54,83,33,59,88,35,58,89,41,43,84,141,86,225,14,8,23,418,444,859
ILOC60100601,89,79,171,46,49,97,92,96,190,72,98,168,65,112,173,60,106,167,57,81,142,62,48,111,122,75,205,48,29,78,731,783,1510
ILOC60100701,7,0,9,5,6,10,5,4,11,7,10,16,3,8,16,7,15,23,10,5,12,10,7,13,11,15,25,3,0,0,76,71,150
ILOC60100702,11,12,23,6,5,11,16,10,31,5,11,16,12,22,28,8,12,20,8,14,14,10,3,13,23,11,35,12,8,15,111,103,213
ILOC60100703,12,10,27,9,17,18,18,17,42,16,15,31,4,11,18,8,11,23,9,9,16,12,5,19,16,13,29,4,0,7,116,117,230
ILOC60100801,11,8,19,5,4,7,10,16,29,14,9,22,9,13,29,3,10,14,3,5,9,3,3,5,6,11,14,3,0,4,75,79,155
ILOC60100802,14,3,14,0,0,3,8,11,20,14,12,27,8,4,15,10,6,12,10,3,13,3,3,7,7,10,16,0,3,5,68,66,130
ILOC60100803,0,3,3,3,0,4,12,8,15,9,7,15,7,11,16,3,3,9,7,7,9,7,4,16,13,10,21,5,6,10,58,57,118
ILOC60100804,8,12,20,4,8,15,16,18,37,13,14,30,15,15,27,0,9,14,9,3,14,7,0,8,10,5,19,4,6,18,90,105,195
ILOC60100901,7,6,11,4,3,6,5,9,17,12,13,19,11,16,18,9,11,20,3,9,18,0,4,3,7,4,11,10,0,9,60,73,131
ILOC60100902,29,20,45,16,13,28,27,19,49,25,29,50,23,15,36,20,23,45,15,17,35,22,13,36,40,32,73,7,8,15,218,191,410
ILOC60100903,0,8,4,0,0,0,5,3,9,6,11,21,5,3,8,5,9,9,4,3,5,3,3,6,10,3,11,3,3,9,43,45,88
ILOC60101001,42,41,82,25,31,58,57,75,134,46,62,106,32,66,97,29,55,81,29,44,78,37,37,72,87,60,152,11,26,39,401,502,901
ILOC60101002,38,45,89,14,20,37,45,51,96,26,56,81,29,62,100,36,48,90,39,48,88,45,38,83,90,44,140,33,18,44,407,440,850
ILOC60101003,12,15,20,6,10,10,11,11,16,13,7,22,6,7,17,5,6,15,10,14,19,12,3,14,21,4,31,3,7,7,95,80,175
ILOC60101004,23,12,34,16,16,29,39,33,67,20,32,51,20,38,58,6,36,43,17,23,40,27,17,41,56,43,104,21,16,34,232,270,504
ILOC60101005,10,6,23,7,9,10,20,8,28,21,19,38,3,10,20,0,11,12,5,11,13,6,16,22,40,7,44,8,3,7,118,96,209
ILOC60101101,14,7,18,9,15,17,21,26,50,22,28,49,20,23,41,16,24,39,22,22,39,21,7,27,42,20,59,5,13,18,190,179,362
ILOC60101102,13,16,34,18,17,31,24,16,36,12,25,34,10,20,28,12,20,30,5,12,19,15,20,40,43,26,76,7,7,13,162,185,349
ILOC69499494,3,0,4,0,0,0,9,3,15,6,5,11,4,0,5,0,0,3,7,0,7,3,0,3,3,0,4,0,0,0,33,16,50
ILOC69799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70100101,25,26,60,10,19,23,23,36,57,16,30,46,11,13,29,7,12,22,18,14,32,9,22,36,53,59,111,37,51,86,213,282,495
ILOC70100102,36,19,57,5,12,14,18,19,37,14,27,33,7,20,24,6,31,31,19,26,44,12,16,35,58,70,133,13,19,35,186,259,445
ILOC70100103,24,0,24,4,0,4,0,27,29,3,3,11,19,37,56,3,3,8,3,8,5,0,3,9,15,14,33,8,0,10,84,96,188
ILOC70100104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0,0,3,3,6,0,0,0,9,14,17
ILOC70100105,47,22,71,7,11,18,20,26,42,16,32,49,15,14,30,10,18,29,13,24,43,22,27,49,77,94,165,27,38,63,241,306,552
ILOC70100106,7,7,19,3,0,0,12,11,22,10,15,21,13,13,20,7,8,11,4,11,21,8,13,21,22,35,56,18,26,47,104,133,242
ILOC70100107,26,25,47,3,9,12,15,17,33,14,21,39,14,26,45,11,17,29,9,12,25,16,16,35,61,68,130,6,23,35,182,235,420
ILOC70100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70100109,8,0,8,23,38,64,18,33,51,6,14,16,3,11,12,3,0,6,0,0,0,0,0,0,0,0,0,11,13,21,67,106,175
ILOC70100201,0,0,0,3,0,4,8,16,20,0,4,3,7,4,10,0,0,0,0,0,0,0,3,0,0,0,0,3,7,14,22,36,57
