ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10100101,10,18,24,3,3,11,16,17,30,13,10,28,12,24,32,13,20,30,8,16,22,14,17,27,36,15,49,7,5,18,127,145,269
ILOC10100201,82,77,158,47,42,84,77,98,176,64,107,173,57,86,143,50,101,152,49,87,138,61,75,144,147,136,282,39,46,84,680,845,1528
ILOC10100202,15,14,31,6,15,20,25,23,40,26,19,46,26,20,47,15,20,39,13,15,30,15,16,27,27,20,39,11,12,25,177,176,356
ILOC10100203,21,18,43,16,27,47,28,45,75,26,33,57,24,30,52,21,54,73,29,26,53,21,15,44,65,47,108,20,20,39,269,324,593
ILOC10100204,19,25,50,7,8,17,17,19,34,25,12,35,11,15,26,9,12,22,15,9,23,25,15,44,54,34,90,11,7,21,191,167,354
ILOC10100205,64,47,107,17,24,38,42,52,95,25,50,80,41,76,111,30,39,75,49,59,107,39,28,63,80,63,142,36,45,83,419,484,897
ILOC10100301,26,19,47,10,8,17,26,28,53,26,30,57,8,35,43,12,24,34,18,17,31,17,16,36,29,16,46,18,20,33,184,208,392
ILOC10100401,34,31,62,12,15,29,40,38,80,16,28,49,10,32,38,15,41,55,18,41,65,21,13,37,37,41,74,16,18,42,224,307,537
ILOC10100402,5,4,15,3,3,4,8,11,13,3,0,4,6,3,10,3,9,11,7,4,16,6,7,12,15,11,32,7,4,8,62,62,122
ILOC10100403,12,11,23,3,3,6,3,8,8,9,6,14,4,8,13,7,8,13,5,3,11,12,5,18,9,9,15,9,4,14,66,69,137
ILOC10100501,34,33,75,17,23,36,38,53,88,35,52,89,25,26,49,30,37,67,19,40,61,22,22,45,57,36,89,21,14,37,292,336,630
ILOC10100502,8,6,14,3,7,11,7,13,14,6,6,19,13,6,19,6,8,18,0,4,4,3,3,6,13,12,21,4,12,10,71,73,146
ILOC10100503,4,10,13,12,3,14,18,16,32,13,10,22,7,15,15,3,8,15,4,3,10,5,5,12,7,6,14,9,3,18,75,79,156
ILOC10100601,18,25,40,9,4,16,17,17,39,19,21,40,13,16,36,3,10,18,6,18,24,11,3,13,15,8,28,18,17,34,131,139,272
ILOC10100701,11,6,19,3,11,16,31,20,48,19,26,47,13,19,31,11,22,29,13,4,21,9,5,21,7,13,21,14,7,23,136,134,267
ILOC10100702,16,18,37,3,3,4,16,12,34,20,23,47,12,28,42,7,19,30,9,4,12,9,5,15,17,11,32,9,8,14,130,137,270
ILOC10100801,28,34,56,22,20,37,63,60,122,50,67,117,31,40,71,31,42,73,23,41,66,26,22,45,64,42,108,35,28,67,368,398,769
ILOC10100802,13,13,22,6,7,11,27,25,49,8,15,20,9,19,22,9,9,25,10,6,16,14,7,20,24,17,35,329,53,379,446,171,616
ILOC10200101,51,64,117,28,32,60,116,82,196,67,69,138,51,72,125,40,67,106,41,42,82,38,29,69,64,61,123,53,66,115,544,592,1137
ILOC10200201,14,15,29,4,13,17,31,21,54,26,24,45,16,26,48,8,20,25,16,13,27,12,7,15,20,7,31,50,12,62,198,153,357
ILOC10200301,42,36,75,15,22,33,49,43,93,25,53,79,28,52,76,27,56,85,27,27,52,36,28,68,65,44,104,27,33,60,337,394,724
ILOC10200302,13,13,28,3,10,20,5,7,17,13,17,27,7,14,22,10,11,18,17,11,27,11,8,23,32,13,49,12,10,21,123,123,240
ILOC10200401,7,8,19,3,4,10,14,15,27,10,9,18,9,14,19,10,15,19,13,6,23,3,7,12,6,14,17,13,15,26,91,98,186
ILOC10200402,8,6,15,4,0,4,12,3,12,4,11,15,0,4,3,4,9,9,3,0,6,3,7,7,3,0,6,6,3,14,58,46,100
ILOC10200501,6,10,14,3,11,17,8,13,21,9,8,18,10,15,28,3,12,13,8,6,17,11,3,12,20,7,23,10,3,10,94,86,178
ILOC10200502,43,55,93,18,28,50,74,94,168,53,64,115,49,69,119,25,52,76,31,35,69,27,24,50,49,34,87,31,27,55,416,483,894
ILOC10200601,7,3,9,0,3,3,4,5,7,3,11,8,6,15,19,3,9,6,3,4,9,6,4,10,15,3,19,3,3,6,53,54,103
ILOC10200602,12,14,25,4,7,17,19,18,31,17,22,40,11,22,29,4,11,15,13,17,26,14,12,28,27,16,44,24,10,36,144,155,294
ILOC10200603,4,3,10,0,0,0,11,0,10,7,9,11,3,4,3,0,3,6,0,3,4,0,3,8,0,0,4,0,0,0,29,27,60
ILOC10200604,8,8,19,8,7,15,10,12,27,25,17,43,7,17,30,5,4,15,5,6,16,7,3,12,19,10,25,10,9,11,106,100,209
ILOC10200701,8,8,19,5,7,16,16,18,39,14,18,31,13,20,29,4,10,20,5,16,23,13,8,22,25,15,39,16,9,24,122,140,259
ILOC10200702,37,20,62,23,25,46,55,55,116,37,62,96,30,44,69,19,38,54,30,43,73,14,17,34,49,45,96,57,52,113,343,400,745
ILOC10200703,0,3,4,3,7,9,20,9,25,11,11,18,4,8,12,3,6,7,6,3,8,6,3,6,6,14,18,10,8,15,59,72,129
ILOC10200704,14,12,23,7,3,8,18,20,36,11,13,29,5,6,16,3,9,11,12,10,19,6,3,11,4,3,7,4,11,17,85,96,174
ILOC10200801,16,8,23,12,5,15,37,51,90,11,12,26,11,7,18,3,8,9,3,3,8,7,3,8,7,3,12,14,19,33,116,121,241
ILOC10200802,8,11,22,3,3,5,8,11,20,6,15,23,7,11,14,5,3,13,12,8,21,7,3,15,31,13,41,3,5,10,95,85,180
ILOC10200803,0,0,4,0,3,4,7,4,10,6,3,7,5,3,10,0,4,5,4,3,6,3,3,7,4,0,6,4,3,11,34,32,69
ILOC10200804,3,5,3,5,0,4,19,18,35,14,17,38,4,11,19,0,6,7,0,6,6,0,0,0,0,3,3,7,4,14,55,75,128
ILOC10200901,27,35,63,14,18,40,52,40,89,35,32,64,15,35,49,25,34,64,16,24,40,13,27,43,75,37,111,16,24,43,295,312,604
ILOC10200902,7,16,18,7,5,13,5,9,22,11,11,15,4,8,17,0,15,14,6,12,17,14,11,22,27,11,42,37,0,37,118,100,224
ILOC10201001,22,17,40,5,7,14,29,32,60,17,37,57,20,33,54,15,38,55,15,28,47,15,16,25,41,20,59,15,14,33,197,238,439
ILOC10201002,15,21,45,5,4,13,29,24,51,15,16,31,15,27,39,15,17,31,16,19,37,19,12,25,31,18,52,12,16,28,172,182,351
ILOC10201003,8,6,20,9,6,19,10,15,30,12,13,19,13,14,22,11,8,19,9,9,20,9,9,18,19,5,22,10,13,25,100,107,207
ILOC10201101,130,146,276,77,76,156,158,187,344,129,180,313,106,164,273,88,180,269,130,161,295,120,122,241,247,195,436,162,98,262,1356,1510,2864
ILOC10201102,40,54,93,23,20,40,52,39,93,56,72,129,34,29,67,28,57,80,52,44,95,45,40,87,79,61,143,24,16,42,429,440,870
ILOC10201201,0,0,3,0,0,0,7,10,24,4,9,17,4,3,7,0,0,0,0,0,0,0,3,5,0,3,3,4,3,4,28,34,60
ILOC10201202,13,18,25,6,9,15,17,16,37,11,17,25,10,9,17,4,12,19,7,8,11,3,5,11,8,8,19,4,5,11,89,103,191
ILOC10201301,22,38,56,7,19,22,18,32,51,13,25,40,24,29,52,18,27,36,26,18,46,15,20,38,65,20,84,15,6,28,222,230,453
ILOC10201401,10,15,26,6,3,11,17,23,43,14,16,26,7,21,30,11,16,32,14,15,26,19,11,28,16,4,20,7,7,17,121,126,250
ILOC10201402,8,8,10,6,6,11,9,6,17,5,8,13,4,7,12,0,4,9,7,0,4,3,0,4,16,4,17,14,10,24,73,55,131
ILOC10300101,15,30,50,7,3,10,20,24,48,26,31,53,18,14,37,8,20,36,14,25,46,18,21,37,34,40,74,29,44,69,203,261,463
ILOC10300102,0,0,0,0,5,5,13,7,23,8,4,11,3,7,14,5,3,3,3,5,5,3,6,8,11,3,12,4,8,8,46,50,93
ILOC10300201,13,16,24,5,11,12,40,37,72,28,37,61,26,22,49,4,17,22,20,8,31,11,8,17,13,18,25,57,32,90,216,202,411
ILOC10300202,0,9,9,3,4,8,22,19,46,22,21,45,17,18,32,4,8,10,5,8,15,5,6,15,11,0,14,6,4,18,100,107,204
ILOC10300203,0,3,3,4,5,6,14,16,26,15,17,37,3,7,3,3,0,3,8,3,7,4,6,6,3,5,9,3,4,9,52,68,120
ILOC10300301,21,30,55,9,10,18,18,20,42,14,21,33,11,16,30,15,20,34,12,19,27,13,12,25,58,31,91,7,9,8,172,193,364
ILOC10300302,7,0,5,6,3,3,7,4,14,4,4,7,10,14,19,0,0,3,0,0,0,0,0,0,0,0,0,6,5,11,36,30,66
ILOC10300401,27,18,46,11,12,21,43,44,85,47,57,109,35,40,69,9,40,48,22,34,55,21,12,35,32,37,62,24,28,54,265,320,592
ILOC10300402,4,5,8,4,8,6,0,7,5,0,0,0,0,6,3,3,4,5,3,3,9,0,0,0,8,3,8,3,0,0,26,31,57
ILOC10300403,0,4,7,0,4,3,5,12,17,7,5,16,5,9,15,4,9,14,3,4,7,3,3,9,3,3,4,15,7,21,51,59,109
ILOC10300501,56,51,101,32,30,65,62,60,119,62,55,115,41,55,94,21,43,62,19,42,60,20,30,53,96,95,196,66,40,105,474,496,972
ILOC10300502,4,4,9,0,0,0,10,10,21,3,3,5,5,11,18,0,7,9,7,7,11,3,3,9,10,5,18,25,4,29,68,57,122
ILOC10300503,8,6,12,5,5,8,18,7,27,10,10,20,7,12,16,5,10,10,3,5,8,5,4,6,8,7,15,8,8,15,69,72,139
ILOC10300504,13,17,28,3,3,11,35,32,71,25,20,48,19,18,33,9,12,18,5,12,15,4,7,11,19,13,29,26,24,55,150,156,309
ILOC10300601,5,3,11,7,0,6,18,17,36,16,10,20,9,8,24,3,7,12,3,9,9,0,7,5,3,9,9,4,3,8,69,71,143
ILOC10300602,0,0,0,0,0,0,0,9,12,10,8,15,3,4,4,0,4,4,0,0,0,5,0,5,0,0,0,0,0,0,17,24,43
ILOC10300603,12,11,17,4,11,14,25,14,45,31,31,54,20,17,33,6,23,29,8,11,21,9,8,15,12,17,31,10,10,28,134,158,294
ILOC10300605,17,13,39,6,9,14,53,56,110,32,43,70,19,29,50,13,32,46,24,22,42,9,20,30,29,28,57,36,38,73,230,294,529
ILOC10300607,17,3,15,4,3,7,37,39,78,18,16,32,11,12,18,12,17,24,8,4,12,7,0,11,10,3,15,11,3,14,135,102,235
ILOC10400101,0,4,6,6,0,5,17,3,17,8,3,6,9,12,22,6,7,10,0,3,5,3,3,8,8,11,15,6,9,11,63,52,117
ILOC10400102,14,24,40,11,20,28,31,26,55,20,44,60,22,23,42,16,32,44,26,32,51,11,13,31,37,22,62,18,22,43,203,257,462
ILOC10400103,21,13,41,7,8,19,15,19,29,9,24,33,17,12,30,13,13,27,13,16,29,18,12,26,45,39,83,13,15,28,174,175,350
ILOC10400201,20,19,38,21,23,41,22,24,46,19,29,42,18,18,38,24,30,53,16,13,33,15,12,30,40,31,71,8,20,28,199,214,412
ILOC10400301,45,38,87,20,36,55,52,43,103,47,58,104,27,64,90,30,65,94,36,62,96,34,34,74,82,50,129,23,29,53,410,470,883
ILOC10400302,44,54,101,17,24,38,41,48,88,39,29,69,26,47,71,28,50,79,19,53,70,24,23,47,122,52,181,268,20,289,638,400,1037
ILOC10400303,43,38,82,22,27,46,53,49,98,39,40,79,36,42,76,14,36,47,26,32,55,29,21,55,72,31,109,12,16,33,345,334,677
ILOC10400401,3,0,0,0,0,3,4,0,4,8,9,9,9,16,22,3,0,3,0,3,3,0,0,0,0,0,0,5,3,8,25,36,61
ILOC10400402,18,20,39,4,3,6,14,20,34,17,18,33,10,13,21,3,15,20,7,12,23,14,3,16,17,12,23,4,3,10,98,121,220
ILOC10400403,67,57,124,22,24,48,81,74,150,62,97,158,53,85,140,35,72,106,32,59,87,37,37,73,81,76,153,110,30,146,580,614,1190
ILOC10400404,11,12,24,3,3,12,15,10,27,16,10,24,3,20,24,4,7,14,3,6,7,0,3,5,9,13,25,6,7,16,83,102,177
ILOC10400405,24,27,49,9,9,19,38,29,70,34,37,75,33,33,69,17,12,33,8,24,30,14,4,18,27,17,48,23,12,30,224,215,438
ILOC10400501,14,15,28,11,7,20,19,17,37,13,17,32,5,28,39,7,4,13,15,19,32,11,5,16,36,19,53,8,7,10,147,142,287
ILOC10400502,4,3,8,4,3,9,13,16,36,16,8,23,8,14,26,6,7,11,6,0,8,3,3,5,0,6,4,6,10,19,64,85,153
ILOC10400503,92,100,190,45,55,103,116,112,230,82,94,177,72,124,197,56,96,155,57,81,135,86,62,154,157,152,302,61,61,126,820,947,1770
ILOC10400504,12,12,19,0,3,3,13,9,28,3,11,19,11,12,18,0,9,9,6,14,15,0,3,10,7,14,16,7,3,12,60,91,155
ILOC10400505,13,14,26,5,8,18,19,22,39,20,20,43,11,17,23,5,10,14,5,7,11,10,4,11,23,9,39,9,8,17,122,118,237
ILOC10400506,16,17,28,11,20,32,35,33,66,29,39,68,25,22,44,12,19,32,11,20,25,6,12,17,22,16,41,14,23,39,177,218,392
ILOC10400507,41,26,67,20,29,49,43,52,95,32,42,75,25,44,68,24,34,61,23,31,54,24,19,44,37,30,65,20,24,37,293,317,610
ILOC10400601,15,23,38,4,4,14,11,18,29,15,23,40,17,11,28,15,21,37,10,8,20,8,3,11,33,17,48,10,9,22,131,146,286
ILOC10400602,17,19,36,4,10,14,17,15,32,18,26,39,11,17,24,13,19,30,12,9,29,6,7,15,21,15,33,4,10,14,121,143,262
ILOC10400701,61,60,123,22,37,59,31,50,81,28,44,70,55,51,107,42,56,96,32,48,82,47,40,92,156,89,245,11,23,35,483,504,983
ILOC10400702,152,123,274,45,68,113,113,126,239,105,133,244,72,121,192,77,128,207,80,111,186,91,86,179,255,158,416,89,62,150,1095,1121,2210
ILOC10400801,24,30,47,16,22,34,38,30,65,34,36,68,26,39,72,19,33,55,23,16,43,24,10,31,65,20,87,17,12,35,285,254,537
ILOC10400802,33,31,61,18,21,37,36,34,65,30,36,61,27,45,66,21,24,48,15,23,44,16,9,22,36,23,63,17,12,27,241,256,492
ILOC10400803,11,6,13,3,0,6,20,8,24,11,11,30,15,19,29,6,8,19,3,13,14,12,6,21,4,6,10,11,8,17,98,84,178
ILOC10400901,32,30,61,22,24,46,50,44,98,44,86,130,36,54,89,27,47,75,23,29,56,20,23,39,23,37,60,49,45,97,329,419,747
ILOC10400902,21,29,51,15,16,29,35,26,62,40,39,80,31,27,62,12,32,40,26,14,37,18,21,35,44,39,83,222,43,264,457,277,735
ILOC10400903,0,0,3,8,4,9,6,0,7,5,9,13,10,19,29,3,9,11,3,0,3,0,3,7,4,6,9,5,9,9,45,58,104
ILOC10400904,11,12,23,17,17,39,39,34,73,27,44,71,31,49,78,7,17,20,4,15,21,14,18,31,11,15,25,22,20,40,183,233,423
ILOC10400905,6,10,15,6,0,6,17,15,32,11,11,25,8,21,26,3,4,10,0,12,11,6,4,8,8,13,24,10,5,14,71,99,169
ILOC10401001,6,9,18,3,4,8,15,20,35,6,15,21,12,24,38,8,10,16,9,9,13,13,3,15,7,11,20,10,10,16,88,106,192
ILOC10401002,4,0,6,3,0,4,10,7,19,3,8,6,6,5,18,3,0,4,4,4,8,0,0,0,3,0,4,0,0,0,35,26,68
ILOC10401101,103,86,189,31,62,97,91,91,186,86,125,209,65,106,173,42,99,142,61,70,132,66,58,129,173,93,271,35,45,81,769,836,1607
ILOC10401102,103,114,215,60,66,125,76,96,172,65,102,164,66,93,160,56,108,168,74,106,179,88,84,173,292,174,465,35,30,63,915,968,1885
ILOC10401103,107,114,227,58,56,114,100,100,193,75,94,172,73,96,167,61,109,174,56,67,119,67,61,127,184,114,303,34,40,75,816,847,1660
ILOC10401201,32,29,59,16,16,29,42,44,87,26,23,55,22,31,48,18,31,47,14,32,47,18,21,41,48,34,86,15,24,41,257,283,539
ILOC10401202,17,10,32,4,10,18,27,16,42,21,27,41,21,29,45,17,18,32,16,17,35,11,12,25,16,19,37,15,7,24,168,165,331
ILOC10401203,11,7,18,12,10,26,15,17,32,22,21,40,13,13,31,13,25,33,10,13,26,5,8,12,20,25,41,6,8,18,131,145,278
ILOC10401204,13,10,28,8,9,23,14,18,34,7,5,17,13,19,32,11,15,27,12,8,27,5,12,17,15,25,39,17,6,21,125,126,259
ILOC10401301,156,155,310,70,90,161,137,159,292,110,151,258,85,142,230,51,126,185,93,127,220,114,105,212,320,208,529,60,66,122,1195,1326,2523
ILOC10401401,48,49,98,27,29,56,76,65,136,55,81,133,52,59,116,40,68,106,46,60,111,58,40,101,163,138,301,29,22,55,608,608,1215
ILOC10401402,89,73,160,25,23,53,73,114,190,60,92,154,45,90,134,51,92,145,61,75,140,68,65,132,143,111,249,27,26,57,646,763,1404
ILOC10401403,59,51,111,29,49,82,80,66,150,57,81,139,36,61,101,39,55,93,33,59,95,35,54,94,172,113,285,26,22,42,566,618,1190
ILOC10401501,37,27,62,16,10,27,36,33,68,31,41,74,35,34,63,18,41,62,34,30,65,26,18,48,66,39,101,21,14,30,318,289,604
ILOC10401502,62,60,120,31,33,64,49,75,132,66,83,146,50,68,115,44,66,110,44,55,105,57,49,110,106,66,179,20,28,52,539,593,1129
ILOC10401503,19,16,33,6,0,11,22,18,40,16,15,32,12,19,33,10,21,27,11,16,26,19,19,34,14,18,29,7,9,15,137,157,288
ILOC10401601,9,5,10,3,0,4,11,11,27,9,13,27,11,7,20,5,8,12,10,4,10,0,3,7,5,7,8,11,14,22,65,71,141
ILOC10401602,16,18,35,3,13,14,17,7,27,11,12,19,11,10,18,5,17,21,23,8,29,23,10,34,49,19,73,0,9,8,155,127,278
ILOC10401603,14,26,43,7,11,20,8,12,23,13,12,28,13,33,45,18,23,34,7,27,33,18,10,28,42,27,78,9,12,16,159,191,352
ILOC10401604,27,49,82,21,17,40,31,41,73,33,49,86,28,34,62,26,33,55,21,34,55,36,28,62,91,45,134,10,11,20,320,340,664
ILOC10401605,45,32,77,9,24,32,39,34,71,33,48,79,22,38,61,27,41,69,20,35,57,20,26,42,78,44,123,12,31,40,305,347,653
ILOC10401701,34,36,66,15,13,27,34,39,75,39,58,98,25,37,61,21,40,66,29,40,66,31,23,54,35,29,60,33,38,70,300,352,647
ILOC10401702,8,17,22,3,0,7,4,9,10,3,5,6,6,3,11,3,4,8,3,3,8,0,0,3,0,0,3,6,3,11,44,49,96
ILOC10401703,17,11,27,11,5,20,21,16,34,16,17,36,19,18,33,7,16,20,17,13,28,14,6,19,22,19,43,13,7,20,146,123,269
ILOC10401801,31,64,93,22,30,58,39,46,91,30,49,79,19,40,57,23,47,73,38,40,82,29,19,53,149,47,199,21,25,50,410,415,821
ILOC10401901,3,3,4,3,12,17,17,13,28,10,8,15,3,8,8,0,0,0,0,0,0,3,0,3,0,0,0,13,15,28,55,52,110
ILOC10401902,65,61,121,33,34,67,95,100,191,64,85,146,54,65,123,48,58,107,41,43,86,22,31,55,36,60,99,36,48,89,502,590,1086
ILOC10401903,41,41,80,14,18,37,47,37,83,42,50,100,39,43,77,27,37,64,37,25,64,23,20,49,59,47,99,14,16,28,344,331,676
ILOC10401904,5,15,19,3,3,6,7,13,19,6,12,18,10,9,19,9,8,18,3,15,18,5,6,15,11,9,18,8,3,9,61,96,152
ILOC10402001,23,23,48,4,18,22,24,31,54,16,22,42,29,24,48,16,24,34,22,17,43,16,11,30,30,30,56,7,14,22,191,208,403
ILOC10402002,22,23,37,9,10,15,13,15,30,10,13,25,13,14,24,13,9,19,11,14,26,13,5,17,43,33,78,8,7,20,161,139,296
ILOC10402003,99,81,184,35,67,99,102,82,183,82,116,199,64,124,180,64,120,185,67,81,150,85,69,161,159,135,289,53,54,105,804,932,1730
ILOC10402101,182,174,355,67,98,160,135,172,302,127,182,309,123,181,300,88,175,260,114,157,265,130,128,257,333,209,538,66,59,124,1357,1523,2876
ILOC10402102,131,105,233,47,62,108,107,100,208,89,133,218,84,114,197,61,121,189,80,117,199,84,83,172,255,136,397,40,57,94,969,1039,2010
ILOC10500101,4,12,16,3,5,9,9,11,20,10,10,27,4,4,15,4,6,11,11,5,20,8,11,15,26,18,47,7,5,13,88,94,186
ILOC10500102,50,32,76,17,21,37,44,53,102,22,52,79,31,41,78,15,46,59,27,37,60,19,27,47,54,29,83,35,34,69,320,367,695
ILOC10500201,5,7,15,0,3,6,9,5,17,3,10,14,4,4,10,0,0,3,3,4,6,4,0,5,5,3,9,12,3,17,53,44,94
ILOC10500202,22,10,33,3,7,9,13,5,18,18,10,26,7,8,15,3,7,13,4,4,8,7,6,15,8,19,26,9,8,14,93,85,178
ILOC10500203,3,0,6,0,0,0,20,21,40,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34,35,55,86
ILOC10500204,4,5,6,9,7,14,15,16,27,10,8,22,6,6,15,7,4,6,0,4,3,0,3,7,0,3,5,18,25,39,66,73,142
ILOC10500205,3,3,3,0,4,9,3,7,7,5,8,16,3,6,13,4,8,8,3,3,8,0,0,4,4,7,7,3,8,11,39,53,88
ILOC10500301,71,57,128,31,26,55,67,78,146,48,87,132,38,77,117,48,75,123,69,54,130,54,50,105,114,115,227,227,44,266,767,666,1431
ILOC10500401,27,31,62,12,18,30,12,21,38,23,14,37,15,26,41,17,32,43,22,17,37,28,15,35,47,36,86,20,8,28,220,210,428
ILOC10500501,4,9,14,6,6,10,6,4,11,0,9,9,3,5,9,4,0,5,5,0,9,12,3,12,21,11,36,7,3,6,60,56,118
ILOC10500502,3,0,4,0,5,5,8,5,11,3,6,11,10,7,15,3,4,9,11,7,11,11,13,18,4,10,12,5,6,14,59,58,114
ILOC10500503,4,5,10,0,0,0,0,5,5,4,8,8,3,9,15,3,3,10,4,3,9,10,3,11,11,0,11,0,3,8,44,40,81
ILOC10500601,24,16,46,5,12,19,11,26,41,11,24,37,9,25,38,12,13,25,24,11,36,19,12,35,39,11,50,11,10,27,178,168,341
ILOC10500701,20,18,39,4,17,24,25,27,51,25,24,54,15,21,39,12,24,37,16,11,32,17,13,29,46,19,66,17,14,33,200,198,395
ILOC10500801,19,10,32,9,0,7,11,14,29,18,12,36,14,29,38,13,21,28,14,14,27,14,17,32,21,17,40,7,5,11,140,149,288
ILOC10500901,31,31,67,26,26,44,38,43,80,49,46,94,32,45,76,31,37,67,37,30,70,29,18,50,41,27,71,23,22,48,338,328,668
ILOC10501001,13,16,27,3,3,6,13,15,23,13,15,31,15,20,27,13,19,24,9,9,23,5,6,16,10,19,27,5,8,9,96,123,216
ILOC10501002,8,17,25,3,3,7,8,15,19,7,16,25,4,12,14,4,14,19,12,12,19,4,4,6,13,11,21,13,15,23,80,110,190
ILOC10501101,42,57,92,14,17,40,28,39,66,37,46,80,20,44,64,33,35,70,39,50,88,28,23,58,42,42,88,41,26,70,330,377,708
ILOC10501201,49,43,90,16,20,37,36,50,84,49,46,98,22,47,69,29,60,93,40,42,80,45,31,74,67,37,111,30,33,63,384,411,798
ILOC10501202,28,30,62,7,13,21,28,23,55,19,24,41,15,21,38,6,15,27,15,13,31,24,14,40,35,17,53,10,12,24,194,193,385
ILOC10501301,21,26,51,10,8,14,25,22,47,14,29,50,8,16,29,6,17,20,13,17,28,17,10,28,25,22,55,239,18,249,370,194,560
ILOC10501401,16,26,48,4,9,17,36,38,72,30,48,79,19,35,48,15,36,48,19,13,34,13,19,29,35,21,54,12,14,28,201,264,461
ILOC10501402,7,5,12,0,0,3,6,6,12,8,4,10,3,4,11,3,6,11,3,6,11,3,9,11,12,3,18,3,5,10,50,52,102
ILOC10501403,10,9,18,0,8,8,10,10,22,9,17,31,7,11,16,6,7,13,3,4,9,4,5,14,9,3,12,10,9,12,69,88,152
ILOC10501501,43,43,93,25,23,48,50,46,92,34,48,88,35,63,97,21,48,67,27,37,64,26,15,42,88,38,130,99,9,105,441,383,820
ILOC10501502,4,10,17,3,3,4,10,16,22,7,8,16,5,3,7,0,7,7,5,5,6,8,5,7,11,8,13,20,4,23,68,57,131
ILOC10501601,46,62,105,33,35,59,57,57,116,38,57,94,37,68,101,23,56,73,30,37,63,37,19,60,121,40,161,26,27,59,440,448,883
ILOC10501701,11,19,31,14,6,20,23,29,54,20,29,46,14,32,43,9,27,35,19,19,35,16,10,26,39,11,53,8,21,33,172,198,372
ILOC10501801,25,24,45,7,3,10,28,15,41,13,22,38,16,16,30,8,24,29,14,17,33,24,19,41,29,27,52,8,5,14,170,170,337
ILOC10501802,21,21,41,5,10,15,23,29,57,23,29,46,15,14,29,3,27,33,9,17,32,16,16,30,35,23,56,17,20,42,161,212,375
ILOC10501803,14,19,33,3,3,8,8,9,19,9,11,17,5,13,19,8,18,29,6,11,24,9,7,13,23,15,38,3,4,6,105,106,207
ILOC10501804,20,19,33,8,12,21,25,32,53,20,31,50,11,24,35,7,21,26,17,16,34,10,5,12,15,21,36,20,14,34,149,185,336
ILOC10501805,3,7,11,0,3,3,6,4,6,9,8,11,5,3,13,4,10,12,3,0,9,6,3,9,15,8,22,5,4,10,52,46,98
ILOC10501806,6,8,11,5,3,10,3,10,12,4,3,8,7,5,7,8,7,16,0,3,9,4,6,13,22,18,43,5,6,8,64,70,133
ILOC10501807,11,4,10,4,6,6,0,4,5,4,4,6,8,3,11,6,6,16,3,4,7,9,8,14,10,14,19,0,5,8,47,61,105
ILOC10501901,18,19,38,7,16,25,18,20,35,16,27,36,14,30,39,11,23,30,9,11,16,11,11,21,23,13,37,11,10,20,133,172,308
ILOC10502001,32,27,61,6,18,24,23,24,52,37,30,71,18,22,33,13,28,45,20,25,45,12,14,29,41,25,68,34,15,48,242,230,471
ILOC10502101,36,25,60,19,14,28,31,35,65,25,27,47,23,26,53,7,31,41,23,24,46,18,13,30,43,45,91,25,20,37,254,257,511
ILOC10502102,8,6,12,4,9,5,12,14,31,14,11,22,3,19,20,14,5,19,12,12,28,6,7,7,17,15,31,4,3,10,91,95,177
ILOC10502103,7,14,20,4,8,16,4,7,13,10,3,13,10,13,18,8,9,23,6,11,15,17,9,27,42,23,67,3,3,4,109,101,212
ILOC10502104,11,14,29,12,11,20,15,16,30,13,16,24,8,15,27,6,15,21,20,13,33,17,23,38,41,27,75,3,6,9,142,155,299
ILOC10502105,49,63,115,20,28,47,54,66,121,44,64,109,39,68,105,29,76,111,35,52,89,32,33,67,69,57,125,34,41,75,411,553,966
ILOC10502201,16,17,32,10,8,11,17,19,31,25,29,55,12,17,35,11,26,38,14,24,36,10,11,24,24,4,29,19,10,31,160,154,314
ILOC10600101,10,4,12,7,0,10,8,7,17,12,8,21,3,10,14,4,16,20,0,15,16,3,0,4,13,3,19,10,5,18,66,78,144
ILOC10600102,26,21,43,11,13,30,18,27,43,15,21,36,11,31,38,20,19,38,17,9,22,19,11,39,33,25,58,14,12,20,178,192,372
ILOC10600103,12,12,20,0,3,7,12,15,23,9,11,24,6,7,19,7,6,15,4,6,8,6,0,4,10,0,6,3,6,5,70,71,139
ILOC10600201,29,23,52,33,20,50,37,36,75,37,47,83,28,48,78,24,39,63,26,18,42,29,19,43,22,34,59,22,27,45,280,308,595
ILOC10600202,0,0,3,7,0,7,0,3,3,4,4,13,4,3,6,0,3,7,0,0,0,3,0,4,0,0,0,3,3,7,22,22,47
ILOC10600203,22,16,38,10,7,18,27,23,42,29,31,53,19,28,47,13,11,29,16,18,40,16,15,28,24,35,57,19,16,30,186,198,377
