ILOC_CODE_2016,HH_IN_P_1_f_hh_C_f_n_c_N_u_1,HH_IN_P_1_f_hh_C_f_n_c_N_u_2,HH_IN_P_1_f_hh_C_f_n_c_N_u_3,HH_IN_P_1_f_hh_C_f_n_c_N_u_4,HH_IN_P_1_f_hh_C_f_n_c_N_u_5,HH_IN_P_1_f_h_C_f_n_c_N_u_6ov,HH_IN_P_1_f_hh_C_f_no_ch_Tot,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_1,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_2,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_3,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_4,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_5,HH_I_P_1_f_h_C_f_ch_Nu_ur_6ov,HH_IN_PE_1_fa_hh_Co_fa_ch_Tot,HH_IN_P_1_f_h_1_pa_f_Nu_ur_1,HH_IN_P_1_f_h_1_pa_f_Nu_ur_2,HH_IN_P_1_f_h_1_pa_f_Nu_ur_3,HH_IN_P_1_f_h_1_pa_f_Nu_ur_4,HH_IN_P_1_f_h_1_pa_f_Nu_ur_5,HH_IN_P_1_f_h_1_pa_f_N_ur_6ov,HH_IN_P_1_f_h_1_pa_f_Tot,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_1,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_2,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_3,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_4,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_5,HH_IN_P_1_fa_hh_Ot_f_N_ur_6ov,HH_IN_PE_1_fa_hh_Other_fa_Tot,HH_IN_PE_1_fa_hh_Tot_Nu_ur_1,HH_IN_PE_1_fa_hh_Tot_Nu_ur_2,HH_IN_PE_1_fa_hh_Tot_Nu_ur_3,HH_IN_PE_1_fa_hh_Tot_Nu_ur_4,HH_IN_PE_1_fa_hh_Tot_Nu_ur_5,HH_IN_PE_1_fa_hh_Tot_N_ur_6ov,HH_IN_PE_1_fa_hh_Tot_Tot,HHD_IN_PE_Mu_fa_hhd_Nu_ur_1,HHD_IN_PE_Mu_fa_hhd_Nu_ur_2,HHD_IN_PE_Mu_fa_hhd_Nu_ur_3,HHD_IN_PE_Mu_fa_hhd_Nu_ur_4,HHD_IN_PE_Mu_fa_hhd_Nu_ur_5,HHD_IN_PE_Mu_fa_hhd_N_ur_6ov,HHD_IN_PE_Mu_fa_hhd_Tot,HHD_IN_PE_TotFa_hhd_Nu_ur_1,HHD_IN_PE_TotFa_hhd_Nu_ur_2,HHD_IN_PE_TotFa_hhd_Nu_ur_3,HHD_IN_PE_TotFa_hhd_Nu_ur_4,HHD_IN_PE_TotFa_hhd_Nu_ur_5,HHD_IN_PE_TotFa_hhd_N_ur_6ov,HHD_IN_PE_TotFa_hhd_Tot,HHD_IN_PE_Lo_per_hhd_Nu_ur_1,HHD_IN_PE_Lo_per_hhd_Nu_ur_2,HHD_IN_PE_Lo_per_hhd_Nu_ur_3,HHD_IN_PE_Lo_per_hhd_Nu_ur_4,HHD_IN_PE_Lo_per_hhd_Nu_ur_5,HHD_IN_PE_Lo_per_hhd_N_ur_6ov,HHD_IN_PE_Lo_per_hhd_Tot,HHD_IN_PE_Gr_hh_Nu_ur_1,HHD_IN_PE_Gr_hh_Nu_ur_2,HHD_IN_PE_Gr_hh_Nu_ur_3,HHD_IN_PE_Gr_hh_Nu_ur_4,HHD_IN_PE_Gr_hh_Nu_ur_5,HHD_IN_PE_Gr_hh_N_ur_6ov,HHD_IN_PE_Gr_hh_Tot,HHD_IN_PE_Tot_Nu_ur_1,HHD_IN_PE_Tot_Nu_ur_2,HHD_IN_PE_Tot_Nu_ur_3,HHD_IN_PE_Tot_Nu_ur_4,HHD_IN_PE_Tot_Nu_ur_5,HHD_IN_PE_Tot_Nu_ur_6_more,HHD_IN_PE_Tot_Tot,OT_HH_1_f_hh_C_f_no_c_Nu_ur_1,OT_HH_1_f_hh_C_f_no_c_Nu_ur_2,OT_HH_1_f_hh_C_f_no_c_Nu_ur_3,OT_HH_1_f_hh_C_f_no_c_Nu_ur_4,OT_HH_1_f_hh_C_f_no_c_Nu_ur_5,OT_HH_1_f_hh_C_f_n_c_N_ur_6ov,OT_HH_1_f_hh_C_f_no_c_Tot,OT_HH_1_f_hh_C_f_ch_Nu_ur_1,OT_HH_1_f_hh_C_f_ch_Nu_ur_2,OT_HH_1_f_hh_C_f_ch_Nu_ur_3,OT_HH_1_f_hh_C_f_ch_Nu_ur_4,OT_HH_1_f_hh_C_f_ch_Nu_ur_5,OT_HH_1_f_hh_C_f_ch_N_ur_6ov,OT_HH_1_f_hh_C_f_with_ch_Tot,OT_HH_1_f_hh_1_pa_f_Nu_ur_1,OT_HH_1_f_hh_1_pa_f_Nu_ur_2,OT_HH_1_f_hh_1_pa_f_Nu_ur_3,OT_HH_1_f_hh_1_pa_f_Nu_ur_4,OT_HH_1_f_hh_1_pa_f_Nu_ur_5,OT_HH_1_f_hh_1_pa_f_N_ur_6ov,OT_HH_1_f_hh_1_parent_f_Tot,OT_HH_One_fa_hh_Ot_fa_Nu_ur_1,OT_HH_One_fa_hh_Ot_fa_Nu_ur_2,OT_HH_One_fa_hh_Ot_fa_Nu_ur_3,OT_HH_One_fa_hh_Ot_fa_Nu_ur_4,OT_HH_One_fa_hh_Ot_fa_Nu_ur_5,OT_HH_1_fa_hh_Ot_fa_N_ur_6ov,OT_HH_One_fa_hhd_Other_fa_Tot,OT_HH_One_fa_hhd_Tot_Nu_ur_1,OT_HH_One_fa_hhd_Tot_Nu_ur_2,OT_HH_One_fa_hhd_Tot_Nu_ur_3,OT_HH_One_fa_hhd_Tot_Nu_ur_4,OT_HH_One_fa_hhd_Tot_Nu_ur_5,OT_HH_One_fa_hhd_Tot_N_ur_6ov,OT_HH_One_fa_hhd_Tot_Tot,OT_HH_Multiple_fa_hhd_Nu_ur_1,OT_HH_Multiple_fa_hhd_Nu_ur_2,OT_HH_Multiple_fa_hhd_Nu_ur_3,OT_HH_Multiple_fa_hhd_Nu_ur_4,OT_HH_Multiple_fa_hhd_Nu_ur_5,OT_HH_Multiple_fa_hh_Nu_u_6ov,OT_HH_Multiple_fa_hhd_Tot,OT_HH_TotFa_hhd_Nu_ur_1,OT_HH_TotFa_hhd_Nu_ur_2,OT_HH_TotFa_hhd_Nu_ur_3,OT_HH_TotFa_hhd_Nu_ur_4,OT_HH_TotFa_hhd_Nu_ur_5,OT_HH_TotFa_hhd_Nu_ur_6_more,OT_HH_TotFa_hhd_Tot,OT_HH_Lo_per_hhd_Nu_ur_1,OT_HH_Lo_per_hhd_Nu_ur_2,OT_HH_Lo_per_hhd_Nu_ur_3,OT_HH_Lo_per_hhd_Nu_ur_4,OT_HH_Lo_per_hhd_Nu_ur_5,OT_HH_Lo_per_hh_Nu_ur_6ov,OT_HH_Lo_per_hhd_Tot,OT_HH_Gr_hh_Nu_ur_1,OT_HH_Gr_hh_Nu_ur_2,OT_HH_Gr_hh_Nu_ur_3,OT_HH_Gr_hh_Nu_ur_4,OT_HH_Gr_hh_Nu_ur_5,OT_HH_Gr_hh_Nu_u_6ov,OT_HH_Gr_hh_Tot,OT_HH_Tot_Nu_ur_1,OT_HH_Tot_Nu_ur_2,OT_HH_Tot_Nu_ur_3,OT_HH_Tot_Nu_ur_4,OT_HH_Tot_Nu_ur_5,OT_HH_Tot_Nu_ur_6_more,OT_HH_Tot_Tot
ILOC10700302,..,10,0,0,0,0,10,..,..,10,6,9,5,25,..,10,23,15,6,4,62,..,0,3,0,0,0,6,..,23,40,17,15,14,107,..,..,..,0,3,5,7,..,23,40,17,15,22,115,14,..,..,..,..,..,14,..,7,0,0,0,0,7,14,29,40,17,15,22,134,..,131,8,0,0,0,141,..,..,98,65,46,39,246,..,71,81,45,19,8,218,..,17,7,0,0,0,24,..,220,187,108,62,52,635,..,..,..,7,6,28,45,..,220,187,118,74,78,678,205,..,..,..,..,..,205,..,20,0,0,0,0,22,205,246,188,115,74,78,903
ILOC10700303,..,51,4,0,0,0,52,..,..,29,46,30,17,119,..,16,26,10,12,6,74,..,3,7,0,0,0,12,..,73,62,59,36,27,260,..,..,..,4,3,12,17,..,73,62,60,41,42,279,21,..,..,..,..,..,21,..,6,0,0,0,0,12,21,76,62,58,41,42,303,..,2013,135,25,5,0,2174,..,..,1882,3045,1151,438,6513,..,410,438,162,48,25,1081,..,74,25,7,0,0,105,..,2496,2475,3239,1196,463,9873,..,..,..,82,145,300,532,..,2496,2475,3321,1348,764,10407,1266,..,..,..,..,..,1266,..,158,36,21,10,5,222,1266,2655,2510,3336,1355,765,11895
ILOC10700304,..,50,9,3,0,0,61,..,..,47,54,26,11,141,..,41,37,23,3,8,117,..,5,3,0,0,0,6,..,94,100,75,31,27,324,..,..,..,8,10,15,32,..,94,100,83,42,43,365,51,..,..,..,..,..,51,..,20,6,0,3,0,31,51,114,104,83,48,43,446,..,3326,286,75,18,16,3720,..,..,2544,3149,1275,615,7584,..,1001,697,318,104,42,2154,..,202,61,10,10,4,282,..,4521,3588,3547,1405,677,13747,..,..,..,139,228,468,840,..,4521,3588,3687,1632,1147,14588,3168,..,..,..,..,..,3168,..,354,98,52,20,26,540,3168,4874,3686,3740,1656,1174,18294
ILOC10700305,..,9,5,0,0,0,10,..,..,5,3,3,3,10,..,6,8,4,0,5,27,..,0,0,0,0,0,0,..,13,20,9,5,8,48,..,..,..,0,0,5,5,..,13,20,7,6,8,56,6,..,..,..,..,..,6,..,0,0,0,0,0,3,6,15,22,7,6,8,66,..,136,9,3,0,0,146,..,..,91,96,57,54,300,..,40,48,18,15,11,137,..,10,3,0,0,0,14,..,183,155,119,79,65,593,..,..,..,10,15,18,35,..,183,155,122,92,76,630,119,..,..,..,..,..,119,..,20,0,0,0,0,20,119,199,155,123,92,76,766
ILOC10700306,..,57,3,0,0,0,56,..,..,32,33,21,19,105,..,49,42,33,14,12,159,..,10,0,0,0,0,16,..,119,76,69,40,30,335,..,..,..,8,15,13,32,..,119,76,76,46,47,367,58,..,..,..,..,..,58,..,8,3,3,0,0,17,58,126,81,75,46,50,435,..,1597,142,25,4,4,1774,..,..,1417,1799,808,449,4476,..,538,407,203,86,57,1288,..,97,31,4,0,3,143,..,2233,2007,2032,897,514,7685,..,..,..,85,143,330,565,..,2233,2007,2112,1048,842,8247,1466,..,..,..,..,..,1466,..,180,27,24,10,7,241,1466,2411,2034,2137,1052,848,9950
ILOC10700307,..,8,0,0,0,0,10,..,..,0,4,0,5,6,..,3,10,7,3,3,30,..,0,0,0,0,0,0,..,13,16,14,3,8,50,..,..,..,0,0,3,3,..,13,16,14,3,7,49,8,..,..,..,..,..,8,..,3,0,0,0,0,3,8,16,16,14,3,7,61,..,89,11,0,0,0,100,..,..,51,59,35,46,192,..,36,44,23,6,5,118,..,12,3,0,0,0,12,..,137,113,83,47,49,425,..,..,..,3,8,13,27,..,137,113,84,55,63,453,162,..,..,..,..,..,162,..,21,0,0,0,0,21,162,150,109,84,55,63,634
ILOC10700308,..,10,0,0,0,0,7,..,..,9,15,9,5,37,..,10,9,6,3,0,29,..,4,0,0,0,0,4,..,16,17,26,11,11,77,..,..,..,0,0,3,8,..,16,17,25,11,14,86,0,..,..,..,..,..,0,..,8,0,0,0,0,8,0,23,17,25,11,14,93,..,310,31,7,0,0,350,..,..,391,626,322,145,1480,..,144,130,61,22,13,364,..,22,3,0,3,0,32,..,477,555,699,346,154,2227,..,..,..,28,40,110,176,..,477,555,727,384,260,2410,239,..,..,..,..,..,239,..,33,8,3,0,0,46,239,509,567,729,384,260,2688
ILOC10700309,..,15,5,0,0,0,15,..,..,14,31,8,13,66,..,9,11,12,10,11,47,..,3,0,0,0,0,3,..,27,32,39,20,18,134,..,..,..,0,9,13,21,..,27,32,38,22,28,149,11,..,..,..,..,..,11,..,3,0,0,0,0,3,11,23,32,45,22,28,163,..,530,52,3,0,0,587,..,..,586,913,506,237,2234,..,178,163,111,42,18,512,..,31,14,0,0,0,49,..,748,814,1023,546,260,3386,..,..,..,30,57,158,252,..,748,814,1056,604,416,3641,470,..,..,..,..,..,470,..,40,3,3,3,0,54,470,786,820,1061,605,417,4164
ILOC10700310,..,12,7,0,0,0,13,..,..,9,12,7,10,36,..,9,11,6,6,3,37,..,0,0,0,0,0,0,..,18,20,19,15,20,85,..,..,..,4,3,4,9,..,18,20,24,19,25,99,13,..,..,..,..,..,13,..,0,0,0,0,0,0,13,18,20,24,19,25,117,..,196,15,0,0,0,213,..,..,150,171,108,79,506,..,103,68,43,30,8,262,..,16,0,3,0,0,22,..,320,235,215,140,86,997,..,..,..,13,21,48,77,..,320,235,226,158,134,1076,214,..,..,..,..,..,214,..,28,0,0,0,0,26,214,347,233,226,158,134,1320
ILOC10700311,..,12,0,0,0,0,12,..,..,9,19,10,3,44,..,3,12,4,3,0,24,..,3,0,0,0,0,3,..,19,21,26,14,3,76,..,..,..,3,3,3,11,..,19,21,24,19,5,88,7,..,..,..,..,..,7,..,0,0,0,0,0,0,7,21,21,24,19,5,96,..,934,59,9,3,3,1005,..,..,581,870,316,124,1893,..,201,142,60,22,8,429,..,44,16,0,0,0,60,..,1183,796,933,340,134,3392,..,..,..,34,42,69,146,..,1183,796,969,384,203,3531,677,..,..,..,..,..,677,..,68,19,4,4,0,102,677,1253,817,969,387,201,4312
ILOC10700312,..,24,4,0,0,0,33,..,..,19,13,9,5,47,..,14,15,7,3,5,45,..,0,3,0,0,0,3,..,46,36,15,16,9,124,..,..,..,3,0,3,8,..,46,36,23,14,14,131,48,..,..,..,..,..,48,..,10,3,0,0,0,12,48,54,43,21,14,14,191,..,728,61,15,9,0,809,..,..,479,577,255,123,1433,..,311,183,74,28,15,610,..,47,22,0,9,0,81,..,1089,735,661,302,141,2935,..,..,..,26,40,91,156,..,1089,735,692,339,231,3087,1233,..,..,..,..,..,1233,..,110,17,11,12,0,146,1233,1194,752,702,349,235,4463
ILOC10700313,..,13,0,0,0,0,13,..,..,12,13,17,4,53,..,24,38,24,6,12,102,..,3,0,0,0,0,3,..,38,45,38,26,16,170,..,..,..,4,3,0,7,..,38,45,46,34,15,176,41,..,..,..,..,..,41,..,3,0,0,0,0,3,41,41,45,46,34,15,220,..,222,20,0,0,0,244,..,..,98,98,57,66,319,..,110,82,55,35,17,299,..,16,4,0,0,0,16,..,356,203,153,90,85,877,..,..,..,3,6,31,42,..,356,203,152,98,113,917,332,..,..,..,..,..,332,..,41,3,0,0,0,45,332,390,204,152,99,114,1297
ILOC10700314,..,9,0,0,0,0,10,..,..,5,16,7,5,40,..,15,13,13,4,5,52,..,3,0,0,0,0,3,..,29,26,26,10,11,100,..,..,..,0,3,5,7,..,29,26,29,16,11,105,21,..,..,..,..,..,21,..,5,0,0,0,0,4,21,38,26,29,16,11,135,..,549,44,12,0,0,605,..,..,343,465,213,114,1137,..,196,163,66,22,20,463,..,46,9,6,0,0,56,..,786,551,552,243,135,2263,..,..,..,29,34,88,147,..,786,551,580,282,225,2414,636,..,..,..,..,..,636,..,55,11,6,3,3,78,636,841,562,584,282,222,3136
ILOC10700315,..,38,8,5,0,0,45,..,..,34,24,25,13,91,..,35,37,26,17,12,133,..,6,0,0,0,0,4,..,72,75,55,39,28,277,..,..,..,8,12,5,21,..,72,75,63,52,38,301,55,..,..,..,..,..,55,..,15,0,0,0,0,15,55,92,82,63,52,38,375,..,949,101,15,4,3,1073,..,..,792,980,607,413,2791,..,450,307,194,83,65,1098,..,83,20,7,0,0,116,..,1483,1219,1199,687,481,5068,..,..,..,49,69,195,310,..,1483,1219,1242,756,676,5377,1264,..,..,..,..,..,1264,..,136,33,9,6,0,184,1264,1618,1250,1250,764,680,6828
ILOC10700316,..,18,4,0,0,0,22,..,..,15,20,15,5,55,..,4,9,12,3,5,31,..,0,0,0,0,0,0,..,20,26,30,17,9,109,..,..,..,3,3,4,10,..,20,26,35,19,14,118,8,..,..,..,..,..,8,..,3,3,0,0,0,5,8,27,26,35,19,18,128,..,1427,90,19,3,4,1543,..,..,1386,2402,935,318,5039,..,304,322,138,34,15,815,..,57,14,4,0,0,77,..,1785,1820,2564,969,340,7475,..,..,..,70,116,299,484,..,1785,1820,2634,1090,636,7962,914,..,..,..,..,..,914,..,86,18,8,6,26,144,914,1876,1835,2639,1096,661,9017
ILOC10700317,..,32,4,0,0,0,38,..,..,27,37,22,14,94,..,21,23,17,4,3,59,..,0,3,0,0,0,4,..,53,54,48,26,17,197,..,..,..,0,0,3,7,..,53,54,48,27,17,202,17,..,..,..,..,..,17,..,8,3,0,0,0,10,17,58,52,48,27,17,226,..,1379,105,22,3,0,1511,..,..,1226,1910,680,283,4110,..,442,352,152,48,14,1014,..,58,13,3,4,0,83,..,1882,1700,2086,739,307,6718,..,..,..,72,84,175,335,..,1882,1700,2159,826,481,7054,973,..,..,..,..,..,973,..,107,27,3,3,0,137,973,1988,1730,2163,823,481,8156
ILOC10700318,..,24,0,0,0,0,24,..,..,10,8,12,0,31,..,10,13,15,3,0,32,..,0,0,0,0,0,0,..,32,20,20,15,4,91,..,..,..,4,0,3,5,..,32,20,27,12,9,97,9,..,..,..,..,..,9,..,4,0,0,0,0,4,9,35,20,30,12,9,111,..,605,62,15,3,3,685,..,..,465,696,373,207,1749,..,182,152,87,31,19,476,..,29,11,6,0,0,44,..,815,691,808,407,232,2950,..,..,..,36,50,133,224,..,815,691,846,460,366,3178,529,..,..,..,..,..,529,..,45,14,6,3,0,66,529,853,701,852,459,368,3771
ILOC10700319,..,23,4,0,0,0,22,..,..,13,9,10,17,55,..,23,27,22,14,14,97,..,3,0,0,0,0,3,..,42,41,35,25,32,175,..,..,..,4,3,8,14,..,42,41,40,28,43,193,20,..,..,..,..,..,20,..,4,0,0,0,0,8,20,49,40,40,28,43,221,..,249,18,0,0,0,265,..,..,152,109,88,85,435,..,143,101,68,38,25,368,..,28,10,0,0,0,33,..,410,277,181,121,116,1100,..,..,..,13,22,40,74,..,410,277,190,143,153,1178,303,..,..,..,..,..,303,..,28,3,3,0,0,35,303,443,277,192,143,153,1516
ILOC10700320,..,25,3,0,0,0,24,..,..,17,22,7,19,57,..,15,31,21,12,14,97,..,5,4,0,0,0,13,..,48,46,40,22,36,192,..,..,..,0,3,9,9,..,48,46,41,24,41,205,17,..,..,..,..,..,17,..,3,4,0,0,0,6,17,48,54,41,24,41,226,..,510,29,12,3,0,557,..,..,364,454,221,134,1176,..,124,114,86,37,28,379,..,21,16,3,0,0,39,..,653,522,554,260,158,2151,..,..,..,16,21,59,96,..,653,522,568,284,222,2249,477,..,..,..,..,..,477,..,45,3,9,0,0,55,477,699,527,579,283,222,2783
ILOC10700401,..,19,0,0,0,0,24,..,..,18,18,10,9,56,..,5,9,7,0,3,21,..,0,0,0,0,0,0,..,26,24,22,15,12,101,..,..,..,3,3,4,8,..,26,24,26,11,10,102,3,..,..,..,..,..,3,..,0,0,0,0,0,0,3,25,24,26,11,10,108,..,1216,39,4,0,0,1253,..,..,537,786,344,104,1761,..,211,147,59,18,3,441,..,31,3,0,0,0,37,..,1456,726,852,356,105,3497,..,..,..,24,24,32,87,..,1456,726,879,382,138,3582,836,..,..,..,..,..,836,..,72,12,5,0,0,91,836,1528,735,883,383,138,4506
ILOC10700402,..,46,3,3,0,0,54,..,..,27,43,28,18,123,..,15,14,10,8,4,53,..,0,0,0,0,0,0,..,57,49,55,40,22,222,..,..,..,0,5,10,13,..,57,49,55,45,27,236,25,..,..,..,..,..,25,..,3,0,0,0,0,5,25,61,48,55,45,27,268,..,2619,78,11,0,3,2717,..,..,1015,1294,571,200,3080,..,440,296,91,20,7,867,..,67,12,3,0,0,78,..,3128,1405,1399,595,214,6738,..,..,..,49,44,48,138,..,3128,1405,1444,636,260,6875,2036,..,..,..,..,..,2036,..,181,20,6,3,0,215,2036,3309,1425,1451,641,260,9117
ILOC10700403,..,27,3,0,0,0,30,..,..,28,15,9,10,58,..,21,21,17,6,5,65,..,4,0,0,0,0,6,..,49,55,35,16,15,161,..,..,..,3,0,3,3,..,49,55,36,16,15,165,42,..,..,..,..,..,42,..,13,0,0,3,0,25,42,67,55,35,15,14,235,..,1937,50,5,0,0,1987,..,..,606,610,236,91,1537,..,405,212,89,24,9,742,..,47,6,3,0,0,49,..,2386,871,698,259,97,4321,..,..,..,12,12,9,38,..,2386,871,710,278,110,4360,2586,..,..,..,..,..,2586,..,283,34,11,5,4,339,2586,2675,909,717,281,117,7283
ILOC10700404,..,20,4,0,0,0,22,..,..,21,33,14,11,72,..,16,15,4,5,0,36,..,0,0,0,0,0,0,..,42,35,34,13,12,133,..,..,..,0,9,6,12,..,42,35,32,25,19,148,9,..,..,..,..,..,9,..,4,0,0,0,0,4,9,41,35,32,25,19,160,..,964,27,3,0,0,1001,..,..,423,521,228,92,1265,..,219,142,57,12,5,436,..,20,0,0,0,0,24,..,1206,597,576,239,98,2716,..,..,..,15,18,21,49,..,1206,597,590,263,116,2768,1039,..,..,..,..,..,1039,..,104,6,0,0,0,114,1039,1307,600,594,263,120,3914
ILOC10700405,..,14,0,0,0,0,14,..,..,10,6,5,3,29,..,7,3,0,0,0,13,..,0,0,0,0,0,0,..,16,13,6,12,3,47,..,..,..,0,0,0,3,..,16,13,9,8,8,53,7,..,..,..,..,..,7,..,7,0,0,0,0,7,7,24,13,9,8,8,65,..,742,19,3,0,0,763,..,..,316,376,180,60,932,..,152,117,19,6,0,303,..,17,5,0,0,0,19,..,908,453,400,191,59,2017,..,..,..,15,12,13,51,..,908,453,416,204,76,2065,765,..,..,..,..,..,765,..,64,3,3,0,0,68,765,976,456,424,204,76,2902
ILOC10700501,..,67,4,0,0,0,71,..,..,32,42,17,13,104,..,33,32,23,6,0,95,..,17,0,0,0,0,14,..,110,67,67,27,9,286,..,..,..,4,3,9,12,..,110,67,74,27,23,301,81,..,..,..,..,..,81,..,23,6,0,0,0,32,81,133,79,72,26,23,409,..,3084,313,118,34,22,3572,..,..,1832,2337,843,267,5279,..,817,541,193,52,13,1623,..,219,59,20,3,8,318,..,4127,2740,2675,937,306,10793,..,..,..,81,114,192,386,..,4127,2740,2755,1055,502,11177,3702,..,..,..,..,..,3702,..,701,265,106,39,18,1131,3702,4829,3009,2858,1093,520,16008
ILOC10700601,..,130,11,3,0,3,151,..,..,101,153,86,60,407,..,40,46,35,11,4,142,..,7,3,6,0,0,14,..,182,159,203,97,73,706,..,..,..,15,18,30,60,..,182,159,215,116,96,765,67,..,..,..,..,..,67,..,13,5,0,0,0,20,67,191,162,215,120,96,855,..,5346,291,29,12,0,5674,..,..,3216,4860,2229,832,11130,..,934,919,429,134,48,2462,..,139,43,9,0,0,194,..,6420,4470,5324,2369,882,19459,..,..,..,175,230,412,810,..,6420,4470,5500,2599,1289,20272,3291,..,..,..,..,..,3291,..,285,42,15,4,3,355,3291,6705,4516,5517,2602,1292,23918
ILOC10700701,..,11,3,0,0,0,18,..,..,8,8,9,7,31,..,31,37,22,17,7,117,..,4,0,0,0,0,4,..,46,51,33,17,18,171,..,..,..,0,0,3,3,..,46,51,37,22,22,179,20,..,..,..,..,..,20,..,3,0,0,0,0,3,20,51,55,37,22,22,201,..,70,0,0,0,0,70,..,..,52,48,26,35,161,..,98,81,45,21,5,245,..,11,0,0,0,0,17,..,181,137,91,46,38,492,..,..,..,5,7,6,20,..,181,137,102,50,46,516,207,..,..,..,..,..,207,..,13,3,0,0,0,13,207,193,140,102,50,46,737
ILOC10700702,..,18,3,0,0,0,23,..,..,18,17,16,6,55,..,27,21,30,11,8,88,..,8,0,0,0,0,5,..,50,42,47,23,18,170,..,..,..,0,3,4,11,..,50,42,46,25,24,182,12,..,..,..,..,..,12,..,3,0,0,0,0,8,12,54,45,46,25,24,199,..,787,32,9,3,0,823,..,..,437,556,271,158,1418,..,217,189,92,47,16,552,..,31,14,0,0,0,43,..,1035,661,655,311,168,2838,..,..,..,35,51,93,185,..,1035,661,688,367,263,3018,447,..,..,..,..,..,447,..,52,6,0,3,0,64,447,1087,671,693,370,268,3528
ILOC10700703,..,22,0,0,0,0,23,..,..,12,25,11,6,59,..,18,15,14,6,0,54,..,0,0,0,0,0,3,..,40,33,36,15,13,138,..,..,..,0,5,8,14,..,40,33,36,22,16,153,18,..,..,..,..,..,18,..,4,3,0,0,0,6,18,46,32,36,22,16,175,..,650,29,3,0,0,681,..,..,299,320,163,100,885,..,200,155,75,21,14,460,..,28,3,0,0,0,38,..,877,487,404,193,119,2072,..,..,..,17,21,41,80,..,877,487,417,214,163,2151,565,..,..,..,..,..,565,..,68,11,4,0,0,81,565,940,491,422,214,163,2794
ILOC10700704,..,6,0,0,0,0,8,..,..,0,4,0,8,8,..,0,0,0,0,0,3,..,0,0,0,0,0,0,..,6,3,7,0,8,25,..,..,..,0,0,4,4,..,6,3,7,0,7,25,0,..,..,..,..,..,0,..,0,0,0,0,0,4,0,9,7,5,0,7,31,..,208,12,0,0,0,220,..,..,55,73,49,44,221,..,23,16,15,0,0,52,..,3,0,0,0,0,4,..,231,81,86,47,46,494,..,..,..,6,12,30,49,..,231,81,93,58,73,541,114,..,..,..,..,..,114,..,10,0,0,0,0,11,114,243,81,91,58,73,670
ILOC10700705,..,64,8,3,0,0,76,..,..,32,40,34,24,137,..,44,37,30,8,5,132,..,11,5,0,0,0,17,..,123,84,78,52,30,364,..,..,..,4,8,12,23,..,123,84,77,57,49,383,67,..,..,..,..,..,67,..,11,3,0,3,0,22,67,136,86,82,59,49,476,..,1927,129,25,5,0,2086,..,..,996,1082,480,311,2865,..,578,371,150,66,33,1194,..,87,21,3,0,0,115,..,2593,1517,1259,552,348,6262,..,..,..,82,77,156,315,..,2593,1517,1335,628,502,6571,2416,..,..,..,..,..,2416,..,215,33,17,4,3,271,2416,2812,1548,1353,630,506,9262
ILOC10700706,..,27,4,0,0,0,30,..,..,23,24,18,11,72,..,16,28,18,3,8,86,..,3,0,0,0,0,3,..,47,57,40,25,22,192,..,..,..,0,4,3,10,..,47,57,43,25,30,202,14,..,..,..,..,..,14,..,3,0,0,0,0,8,14,52,55,41,25,30,220,..,479,32,3,6,0,520,..,..,372,407,220,141,1132,..,225,201,99,52,27,605,..,26,8,0,0,0,35,..,737,615,507,273,167,2297,..,..,..,24,30,72,132,..,737,615,536,306,241,2431,431,..,..,..,..,..,431,..,46,3,3,3,0,54,431,785,615,537,308,241,2916
ILOC10700707,..,32,3,0,0,0,38,..,..,10,22,14,14,58,..,9,21,9,10,3,52,..,3,0,0,0,0,7,..,45,37,34,17,19,157,..,..,..,0,11,3,12,..,45,37,34,24,21,168,21,..,..,..,..,..,21,..,8,4,0,0,0,13,21,52,37,34,24,21,199,..,1217,72,16,4,0,1311,..,..,831,1021,439,214,2509,..,351,241,106,45,17,759,..,58,8,3,0,0,69,..,1633,1153,1139,489,235,4648,..,..,..,34,70,139,246,..,1633,1153,1178,559,375,4895,1186,..,..,..,..,..,1186,..,97,15,10,4,3,125,1186,1729,1167,1181,557,380,6196
ILOC10700708,..,35,4,0,0,0,37,..,..,30,22,17,15,81,..,38,37,24,10,11,120,..,3,3,3,0,0,11,..,78,69,52,33,20,251,..,..,..,0,4,9,14,..,78,69,57,33,33,265,45,..,..,..,..,..,45,..,6,0,0,0,0,8,45,85,72,57,33,33,317,..,1109,101,16,4,0,1230,..,..,939,1243,453,249,2886,..,456,341,161,63,28,1051,..,64,16,0,3,0,83,..,1634,1392,1430,524,274,5254,..,..,..,43,66,155,265,..,1634,1392,1473,590,432,5521,1333,..,..,..,..,..,1333,..,155,18,4,3,0,183,1333,1791,1416,1482,595,432,7040
