ILOC_CODE_2016,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,InfPrim_Indig_M,InfPrim_Indig_F,InfPrim_Indig_P,InfPrim_NonInd_M,InfPrim_NonInd_F,InfPrim_NonInd_P,InfPrim_Indig_st_nsM,InfPrim_Indig_st_nsF,InfPrim_Indig_st_nsP,InfPrim_TotM,InfPrim_TotF,InfPrim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TFEI_FT_St_15_24_In_M,TFEI_FT_St_15_24_Id_F,TFEI_FT_St_15_24_Id_P,TFEI_FT_St_15_24_No_Id_M,TFEI_FT_St_15_24_No_Id_F,TFEI_FT_St_15_24_No_Id_P,TFEI_FT_St_15_24_I_s_n_s_M,TFEI_FT_St_15_24_I_s_n_s_F,TFEI_FT_St_15_24_I_s_n_s_P,TFEI_FT_St_15_24_TotM,TFEI_FT_St_15_24_TotF,TFEI_FT_St_15_24_TotP,TFEI_FT_St_25over_Id_M,TFEI_FT_St_25over_Id_F,TFEI_FT_St_25over_Id_P,TFEI_FT_St_25ov_Non_Id_M,TFEI_FT_St_25ov_Non_Id_F,TFEI_FT_St_25ov_Non_Id_P,TFEI_FT_St_25ov_I_s_n_st_M,TFEI_FT_St_25ov_I_s_n_st_F,TFEI_FT_St_25ov_I_s_n_st_P,TFEI_FT_St_25ov_TotM,TFEI_FT_St_25ov_TotF,TFEI_FT_St_25ov_TotP,TFEI_PT_St_15_24_Id_M,TFEI_PT_St_15_24_Id_F,TFEI_PT_St_15_24_Id_P,TFEI_PT_St_15_24_Non_Id_M,TFEI_PT_St_15_24_No_Id_F,TFEI_PT_St_15_24_No_Id_P,TFEI_PT_St_15_24_I_s_n_s_M,TFEI_PT_St_15_24_I_s_n_s_F,TFEI_PT_St_15_24_I_s_n_s_P,TFEI_PT_St_15_24_TotM,TFEI_PT_St_15_24_TotF,TFEI_PT_St_15_24_TotP,TFEI_PT_St_25ov_Id_M,TFEI_PT_St_25ov_Id_F,TFEI_PT_St_25ov_Id_P,TFEI_PT_St_25ov_Non_Id_M,TFEI_PT_St_25ov_Non_Id_F,TFEI_PT_St_25ov_Non_Id_P,TFEI_PT_St_25ov_I_s_n_s_M,TFEI_PT_St_25ov_I_s_n_s_F,TFEI_PT_St_25ov_Id_s_n_s_P,TFEI_PT_St_25ov_TotM,TFEI_PT_St_25ov_TotF,TFEI_PT_St_25ov_TotP,TFEI_FT_PT_s_s_nt_st_Id_M,TFEI_FT_PT_s_s_nt_st_Id_F,TFEI_FT_PT_s_s_nt_st_Id_P,TFEI_FT_PT_s_s_nt_s_N_I_M,TFEI_FT_PT_s_s_n_st_N_I_F,TFEI_FT_PT_s_s_n_s_No_Id_P,TFEI_F_P_s_s_n_s_I_s_n_s_M,TFEI_F_P_s_s_n_s_I_s_n_s_F,TFEI_F_P_s_s_n_s_I_s_n_s_P,TFEI_FT_PT_s_s_nt_st_To_M,TFEI_FT_PT_s_s_nt_st_To_F,TFEI_FT_PT_s_s_nt_st_To_P,TFEI_Tot_Indig_M,TFEI_Tot_Indig_F,TFEI_Tot_Indig_P,TFEI_Tot_NonInd_M,TFEI_Tot_NonInd_F,TFEI_Tot_NonInd_P,TFEI_Tot_IndSt_nsM,TFEI_Tot_IndSt_nsF,TFEI_Tot_IndSt_nsP,TFEI_Tot_TotM,TFEI_Tot_TotF,TFEI_Tot_TotP,UT_FT_S_15_24_Ind_M,UT_FT_S_15_24_Ind_F,UT_FT_S_15_24_Ind_P,UT_FT_S_15_24_NonInd_M,UT_FT_S_15_24_NonInd_F,UT_FT_S_15_24_NonInd_P,UT_FT_S_15_24_In_st_nsM,UT_FT_S_15_24_In_st_nsF,UT_FT_S_15_24_In_st_nsP,UT_FT_S_15_24_TotM,UT_FT_S_15_24_TotF,UT_FT_S_15_24_TotP,UT_FT_S_25_over_Ind_M,UT_FT_S_25_over_Ind_F,UT_FT_S_25_over_Ind_P,UT_FT_S_25ov_NonInd_M,UT_FT_S_25ov_NonInd_F,UT_FT_S_25ov_NonInd_P,UT_FT_S_25ov_IndSt_nsM,UT_FT_S_25ov_IndSt_nsF,UT_FT_S_25ov_IndSt_nsP,UT_FT_S_25ov_TotM,UT_FT_S_25ov_TotF,UT_FT_S_25ov_TotP,UT_PT_S_15_24_Ind_M,UT_PT_S_15_24_Ind_F,UT_PT_S_15_24_Ind_P,UT_PT_S_15_24_No_Ind_M,UT_PT_S_15_24_NonInd_F,UT_PT_S_15_24_NonInd_P,UT_PT_S_15_24_In_st_nsM,UT_PT_S_15_24_In_st_nsF,UT_PT_S_15_24_In_st_nsP,UT_PT_S_15_24_TotM,UT_PT_S_15_24_TotF,UT_PT_S_15_24_TotP,UT_PT_S_25over_In_M,UT_PT_S_25over_In_F,UT_PT_S_25over_In_P,UT_PT_S_25over_Non_In_M,UT_PT_S_25over_Non_In_F,UT_PT_S_25over_Non_In_P,UT_PT_S_25ov_In_s_nsM,UT_PT_S_25ov_In_s_nsF,UT_PT_S_25ov_In_s_nsP,UT_PT_S_25over_TotM,UT_PT_S_25over_TotF,UT_PT_S_25over_TotP,UT_FT_PT_stud_st_ns_Ind_M,UT_FT_PT_stud_st_ns_Ind_F,UT_FT_PT_stud_st_ns_Ind_P,UT_FT_PT_stu_st_ns_NonInd_M,UT_FT_PT_stu_st_ns_NonInd_F,UT_FT_PT_stu_st_ns_NonInd_P,UT_FT_PT_st_st_ns_In_st_nsM,UT_FT_PT_st_st_ns_In_st_nsF,UT_FT_PT_st_st_ns_In_st_nsP,UT_FT_PT_stu_st_ns_TotM,UT_FT_PT_stu_st_ns_TotF,UT_FT_PT_stu_st_ns_TotP,UT_Tot_Indig_M,UT_Tot_Indig_F,UT_Tot_Indig_P,UT_Tot_NonInd_M,UT_Tot_NonInd_F,UT_Tot_NonInd_P,UT_Tot_IndigStat_nsM,UT_Tot_IndigStat_nsF,UT_Tot_IndigStat_nsP,UT_Tot_TotM,UT_Tot_TotF,UT_Tot_TotP,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF
ILOC10401001,9,6,16,43,62,107,0,0,0,58,72,126,24,19,41,288,283,568,10,5,15,320,305,629,14,22,40,213,241,455,8,5,13,237,269,506,0,0,0,6,13,18,0,0,0,6,17,22,0,0,0,7,15,18,0,0,0,7,15,18,0,0,0,22,18,34,0,0,0,22,14,39,0,3,3,19,44,67,0,0,0,23,52,74,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,52,92,148,0,0,0,56,97,157,0,0,0,14,18,30,0,0,0,14,18,30,0,0,3,7,17,27,0,0,0,13,17,32,0,0,0,3,10,14,0,0,0,6,10,9,0,0,0,19,27,45,0,0,0,19,27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,74,119,0,0,0,45,70,119,0,3,3,12,17,31,0,0,0,12,18,33,3,5,12,84,89,175,364,293
ILOC10401002,3,0,3,4,4,10,0,0,0,3,4,11,3,3,7,18,14,34,0,0,0,21,19,35,6,6,7,11,6,16,0,0,0,16,10,25,0,0,0,0,4,6,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,3,0,0,0,0,3,3,0,4,3,3,4,7,12,18
ILOC10401101,53,32,86,582,515,1095,7,10,11,638,560,1198,247,202,452,2490,2318,4805,25,16,45,2764,2537,5300,139,150,289,1905,1928,3837,12,16,28,2056,2090,4147,0,7,9,72,82,147,0,0,0,73,92,162,3,3,6,23,54,73,0,0,0,23,55,80,16,7,26,286,135,420,3,3,4,309,144,458,6,14,21,144,261,410,0,0,0,150,275,431,0,0,0,9,3,8,0,0,0,9,3,8,27,34,66,526,536,1066,3,3,7,558,578,1133,11,21,38,425,493,919,3,7,6,437,521,962,4,3,5,85,158,243,0,0,0,89,167,256,0,4,5,77,108,183,0,0,0,75,111,190,3,8,14,175,371,548,0,3,3,181,385,563,0,0,0,3,4,9,0,0,0,3,4,9,19,43,65,763,1136,1899,3,12,9,785,1185,1976,3,10,15,86,188,274,0,0,0,94,191,285,44,47,89,614,752,1368,992,1021
ILOC10401102,59,55,118,837,819,1656,3,6,15,899,888,1789,227,240,471,3304,3161,6462,28,24,54,3562,3425,6986,156,163,322,2461,2324,4784,23,27,51,2636,2520,5155,7,11,23,96,86,178,0,0,0,105,93,199,9,8,14,47,107,154,0,0,0,53,112,169,16,21,34,274,186,462,0,0,0,286,209,499,12,16,27,230,371,602,0,3,3,242,397,637,0,0,0,3,3,6,0,0,0,3,3,6,42,58,100,644,752,1403,3,3,6,689,811,1507,13,23,38,559,666,1223,0,3,4,575,690,1269,7,6,9,183,314,496,0,0,0,192,317,510,6,4,13,98,131,231,0,0,0,106,138,239,14,16,28,333,568,903,3,3,3,347,591,937,0,0,0,4,4,4,0,0,0,4,4,4,36,58,93,1183,1678,2857,6,10,13,1220,1736,2961,6,7,13,133,247,379,0,0,0,144,252,399,37,24,68,604,796,1401,1130,1074
ILOC10401103,46,35,80,384,377,769,4,0,10,435,419,855,208,186,402,1817,1755,3574,33,21,54,2057,1965,4026,140,153,294,1570,1504,3066,13,13,28,1725,1667,3390,3,3,6,70,83,147,0,0,0,68,85,157,3,6,8,27,71,100,0,0,0,26,81,110,18,8,29,186,105,288,0,0,0,204,114,315,3,23,26,149,252,403,0,0,0,151,274,430,0,0,0,4,0,8,0,0,0,7,0,5,24,40,68,430,510,939,0,0,3,456,556,1015,13,17,30,316,394,711,0,0,0,332,419,747,0,3,3,112,175,290,3,0,3,114,176,298,3,0,8,53,74,123,0,0,0,55,77,132,3,6,13,140,303,439,0,0,3,147,309,455,0,0,0,0,7,8,0,0,0,0,7,8,18,37,57,631,950,1578,8,0,4,653,988,1641,9,13,22,104,195,299,3,0,3,119,211,333,39,30,75,559,733,1294,886,897
ILOC10401201,16,13,34,111,108,225,3,0,4,127,125,256,89,71,153,473,474,945,4,3,11,562,544,1112,46,52,98,351,416,765,6,3,5,403,467,868,6,3,9,11,28,40,0,0,0,15,29,45,3,7,7,13,31,42,0,0,0,18,32,51,3,4,6,45,37,82,0,0,0,46,42,93,5,3,11,36,63,99,0,0,0,44,65,109,0,0,0,0,0,0,0,0,0,0,0,0,17,11,32,108,154,265,0,0,0,126,172,293,3,4,6,61,80,144,0,0,0,64,85,151,4,9,12,46,71,115,0,0,0,50,75,129,0,0,0,16,26,42,0,0,0,16,26,42,3,10,9,58,113,172,0,0,0,63,120,184,0,0,0,0,0,0,0,0,0,0,0,3,13,23,31,188,290,478,0,0,0,197,312,514,0,3,8,23,38,55,0,0,0,26,44,67,29,34,62,75,105,182,342,387
ILOC10401202,15,3,19,60,56,117,0,0,0,76,62,132,27,34,55,333,338,666,0,0,3,361,371,730,32,21,53,285,275,562,0,0,0,320,301,618,0,0,5,15,21,36,0,0,0,19,25,40,0,8,8,13,32,45,0,0,0,13,37,56,3,0,10,40,27,65,0,0,0,38,28,73,0,3,6,41,63,101,0,0,0,47,67,108,0,0,0,0,0,0,0,0,0,0,0,3,6,13,26,106,146,249,0,0,0,117,160,278,0,3,3,68,101,161,0,0,0,63,98,168,0,3,3,59,63,120,0,0,0,59,63,119,0,0,0,22,28,46,0,0,0,22,34,50,0,0,3,37,82,123,0,0,0,41,84,122,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,182,275,448,0,0,0,181,282,459,0,6,6,18,25,50,0,0,0,18,31,54,9,8,10,68,75,141,307,289
ILOC10401203,7,8,17,63,66,127,0,0,0,69,74,140,34,34,67,285,284,566,11,3,9,331,318,646,24,14,37,220,235,458,3,7,11,250,250,501,0,7,7,6,12,24,0,0,0,6,17,29,3,0,4,11,20,25,0,0,0,10,24,33,3,0,5,12,9,25,0,0,0,24,14,33,4,6,13,18,49,64,0,0,0,19,52,73,0,0,0,0,0,0,0,0,0,0,0,0,13,13,30,50,90,137,0,0,0,62,104,170,5,11,16,82,91,175,0,0,0,85,100,188,5,0,12,50,56,113,0,0,0,60,59,121,0,3,3,12,13,31,0,0,0,12,18,32,0,3,3,46,102,151,0,0,0,52,105,150,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30,197,267,467,0,0,3,211,281,500,0,0,0,20,23,45,0,0,0,20,23,43,9,3,9,61,81,146,311,309
ILOC10401204,3,4,10,95,83,175,0,0,0,99,87,188,36,37,75,508,414,925,12,10,20,559,457,1021,21,24,46,411,429,832,7,5,15,436,452,891,0,0,4,11,13,20,0,0,3,7,13,25,0,4,3,3,19,24,0,0,0,4,23,33,0,0,3,31,18,45,0,0,0,35,16,48,3,4,5,26,58,86,0,0,0,34,60,88,0,0,0,0,0,3,0,0,0,0,0,3,6,8,17,73,107,185,3,3,4,84,118,201,0,0,3,31,41,71,0,0,0,33,39,69,0,4,6,36,49,78,0,0,0,36,53,90,0,5,5,8,11,15,0,0,0,5,15,19,0,3,3,41,109,152,0,0,0,44,114,157,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,110,205,316,0,3,0,120,218,332,4,0,4,19,29,47,0,0,3,21,36,55,17,10,26,126,122,247,461,466
ILOC10401301,78,69,150,819,715,1531,3,4,6,898,793,1685,366,332,692,3390,3269,6660,40,32,75,3791,3632,7430,248,238,484,2406,2274,4680,26,24,45,2674,2532,5210,12,20,35,110,141,250,8,0,8,134,154,287,3,6,8,45,98,136,0,3,3,45,109,154,20,23,47,291,192,485,3,0,3,315,216,536,9,22,34,241,428,671,3,3,5,246,455,704,5,0,8,6,11,16,0,0,0,13,13,22,52,74,125,690,869,1558,13,7,17,755,948,1701,12,14,23,381,543,920,3,3,6,389,561,951,8,23,31,137,258,387,0,0,0,144,276,420,3,7,10,82,138,220,0,0,0,87,142,227,7,15,20,284,490,777,3,0,0,289,507,793,0,0,0,0,3,3,0,0,0,0,3,3,31,50,79,881,1430,2306,3,9,9,913,1484,2399,11,32,41,162,257,411,0,0,0,165,284,457,67,68,127,633,660,1298,1520,1482
ILOC10401401,16,16,37,421,349,773,3,0,8,447,366,812,85,71,160,1607,1498,3112,12,15,25,1706,1593,3295,63,62,124,1154,1122,2271,13,3,17,1223,1189,2411,3,4,14,77,116,193,3,0,3,84,120,208,4,12,19,100,100,197,0,0,0,105,109,219,14,8,22,145,120,263,0,0,0,154,133,285,14,10,21,218,284,498,0,0,0,228,299,522,0,0,0,4,3,6,0,0,0,7,3,12,35,44,77,545,617,1161,4,4,3,581,663,1242,25,24,48,701,838,1539,3,3,3,729,864,1595,11,14,24,390,480,872,3,0,3,400,497,893,0,6,11,143,133,277,0,0,0,140,139,283,10,16,27,440,643,1085,3,0,3,455,655,1117,0,0,0,4,4,6,0,0,0,8,4,9,47,60,109,1675,2098,3771,10,0,11,1731,2165,3895,7,12,18,107,165,272,0,0,0,121,179,297,32,26,57,640,757,1397,1322,1148
ILOC10401402,50,37,82,468,377,844,3,7,8,521,420,936,166,167,333,1834,1709,3541,30,13,38,2027,1893,3914,123,97,221,1374,1263,2637,15,18,31,1510,1373,2885,4,6,12,65,96,164,0,0,0,67,105,177,3,7,13,87,101,184,0,0,0,89,103,192,11,10,27,176,125,298,0,0,0,187,139,327,11,14,26,167,243,408,0,0,0,178,256,434,0,0,0,11,5,16,0,0,0,11,5,16,28,43,75,496,571,1068,3,0,4,532,619,1144,24,47,73,1332,1454,2786,6,7,6,1363,1501,2869,5,17,26,508,409,915,3,5,10,520,430,946,4,11,13,105,111,214,0,0,0,101,124,228,12,13,22,209,303,512,0,0,0,220,315,536,0,0,0,8,7,10,0,0,0,8,7,10,45,88,129,2157,2276,4435,6,9,16,2213,2371,4583,3,6,10,96,171,269,0,0,0,95,181,280,34,39,76,486,599,1089,669,673
ILOC10401403,31,21,57,560,465,1019,0,7,7,592,489,1085,108,112,217,2098,2027,4134,18,11,36,2228,2154,4381,80,85,170,1557,1505,3061,18,3,22,1654,1603,3259,0,6,9,87,93,179,0,0,0,91,100,193,0,6,9,59,87,146,0,0,0,58,98,157,13,5,16,187,97,284,0,0,0,197,104,304,4,16,19,210,287,496,0,3,3,213,304,513,0,0,0,3,8,13,0,0,0,3,8,13,16,31,52,541,571,1117,6,3,3,563,607,1170,31,30,61,931,1086,2017,0,3,3,964,1119,2084,12,14,29,433,424,857,0,0,0,448,439,887,4,3,4,115,166,275,0,0,0,118,169,282,7,12,14,369,508,874,0,0,3,374,519,898,0,0,0,3,10,10,0,0,0,5,10,11,58,64,122,1848,2186,4039,3,6,8,1908,2252,4161,10,6,14,98,177,273,0,4,0,101,187,290,30,31,57,545,887,1432,738,693
ILOC10401501,14,24,33,191,192,385,7,0,9,209,220,427,73,65,140,867,868,1727,21,21,35,962,948,1909,51,35,83,832,804,1640,14,13,26,893,846,1747,3,3,4,20,21,46,0,0,0,28,25,49,5,5,6,17,40,56,0,0,0,14,48,62,7,0,10,92,40,133,3,0,7,96,44,146,7,6,13,69,133,206,0,0,4,75,141,214,3,0,3,0,0,3,0,0,0,0,0,8,18,14,34,198,243,437,3,3,7,215,260,480,6,8,15,42,68,109,0,0,0,47,77,124,3,7,9,12,51,65,0,0,0,15,63,79,3,3,3,3,25,31,0,0,0,5,29,31,0,4,4,46,127,168,0,0,0,48,131,177,0,0,0,0,0,0,0,0,0,0,0,0,16,18,37,102,276,375,0,0,3,118,298,413,0,5,7,44,87,127,0,0,0,43,89,140,7,13,24,313,377,686,740,687
ILOC10401502,20,36,58,407,332,731,4,3,8,430,367,797,144,142,287,1663,1514,3181,19,26,42,1819,1682,3507,101,98,197,1271,1289,2561,15,17,31,1390,1398,2787,10,4,15,38,58,96,0,0,0,51,60,108,3,8,15,24,73,98,0,0,0,28,82,114,9,10,18,124,111,236,0,0,0,132,123,256,8,13,21,131,250,379,0,3,3,134,272,406,0,0,0,3,3,9,0,0,0,3,3,9,29,39,68,325,499,826,0,3,5,356,543,896,5,13,19,104,242,346,0,0,0,107,255,362,3,3,13,75,133,209,0,4,4,80,138,225,0,3,9,26,30,57,0,0,0,28,36,61,6,13,14,152,279,433,0,3,3,158,291,452,0,0,0,5,0,3,0,0,0,5,0,3,14,35,52,362,684,1048,0,7,7,378,724,1103,6,14,17,73,151,227,0,0,0,82,163,248,39,32,78,363,495,859,1064,1087
ILOC10401503,10,13,27,67,56,120,0,0,0,71,76,148,53,51,103,244,239,488,11,6,16,307,300,605,39,41,81,169,181,353,0,4,5,209,230,444,0,3,3,7,20,20,0,0,0,7,19,30,0,8,5,0,24,22,0,0,0,0,30,27,3,3,7,10,19,28,4,0,4,18,17,39,0,0,3,10,53,61,0,0,0,14,54,67,0,0,0,0,3,3,0,0,0,0,3,3,5,12,21,34,109,144,4,0,5,41,118,165,0,0,0,4,22,27,0,0,0,4,22,26,0,0,0,6,13,20,0,0,0,6,13,20,0,0,0,4,3,7,0,0,0,4,3,7,0,8,8,7,26,34,0,0,0,7,34,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,22,62,91,0,0,0,29,73,101,0,0,0,11,17,32,0,0,0,11,21,30,11,18,23,93,105,199,162,158
ILOC10401601,3,8,8,3,8,9,0,0,0,5,9,19,12,16,24,36,26,63,0,0,0,43,39,82,12,4,17,19,21,37,0,0,0,30,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,11,0,0,0,6,4,11,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,21,0,0,0,6,17,17,0,0,0,0,3,3,0,0,0,0,0,7,10,11,24,22,23,42,47,37
ILOC10401602,12,7,21,113,100,219,3,0,0,130,111,236,35,44,75,448,441,895,3,10,13,489,497,987,24,14,41,344,327,672,8,5,11,376,349,729,3,0,3,13,10,23,0,0,0,18,13,25,0,0,5,0,9,11,0,0,0,4,10,9,0,3,3,36,17,56,0,0,0,40,19,60,4,5,10,18,60,78,0,0,0,24,59,81,0,0,0,0,0,0,0,0,0,0,3,3,8,12,21,65,99,166,0,0,0,76,104,184,0,4,5,35,58,91,0,0,0,32,66,97,0,0,3,10,31,40,0,0,3,13,33,45,0,0,0,13,9,24,0,0,0,13,12,28,0,0,0,27,57,83,0,0,0,25,58,88,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,82,158,241,0,0,3,88,173,256,0,3,3,15,30,53,0,0,0,15,36,55,6,9,17,69,100,171,260,248
ILOC10401603,12,11,20,130,113,245,0,0,3,142,122,269,59,39,101,678,628,1305,3,4,9,738,671,1414,37,30,65,517,509,1025,4,3,10,559,546,1100,0,0,0,9,21,30,0,0,0,9,21,30,0,0,0,10,18,26,0,0,0,10,22,28,0,3,3,52,33,89,0,0,0,50,39,94,3,3,4,50,77,135,0,0,0,53,84,140,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,128,151,275,0,0,3,127,161,292,0,6,9,70,93,161,0,0,0,70,99,172,0,3,4,19,45,63,0,0,0,20,49,65,0,0,0,9,24,37,0,0,0,9,31,38,0,0,0,42,85,121,0,0,0,42,85,121,0,0,0,0,3,3,0,0,0,0,3,3,0,11,14,135,251,394,0,0,0,141,261,401,0,3,3,29,50,83,0,0,3,33,57,83,9,16,25,177,207,386,519,555
ILOC10401604,5,11,19,191,192,380,3,3,4,202,210,406,94,63,158,925,882,1808,17,17,32,1036,957,1991,50,70,121,739,674,1412,11,15,29,803,755,1558,0,0,3,29,31,55,0,0,0,30,34,61,0,0,0,3,32,33,0,0,0,3,31,36,9,3,12,102,44,148,0,0,0,115,51,161,4,4,7,58,110,167,0,0,0,61,116,178,0,0,0,0,0,3,0,0,0,4,0,3,19,14,34,192,219,406,4,0,4,209,233,440,4,9,13,90,125,211,0,0,0,91,129,222,0,6,3,30,67,99,3,0,3,38,73,106,0,3,3,24,18,40,0,0,0,24,22,45,7,10,13,45,117,167,0,3,3,51,127,179,0,0,0,0,3,3,0,0,0,0,5,7,11,21,31,192,333,526,3,7,10,204,360,562,0,3,3,31,75,106,0,0,0,34,78,114,15,19,36,273,302,578,870,794
ILOC10401605,27,33,57,122,115,245,0,3,3,149,153,307,108,102,202,520,474,999,7,6,18,638,582,1219,54,60,112,371,305,681,0,0,0,431,368,791,0,3,4,17,24,37,0,0,0,16,21,42,3,3,7,9,21,32,0,0,0,11,26,31,5,4,8,37,36,80,0,0,0,45,43,85,3,6,12,37,57,98,0,0,0,40,68,108,0,0,0,0,0,0,0,0,0,0,0,0,12,20,31,101,140,242,0,0,3,114,154,272,0,3,6,39,77,119,0,0,0,40,85,127,0,0,3,16,39,61,0,0,0,21,45,60,0,0,0,18,23,43,0,0,0,18,23,44,0,4,4,26,73,97,0,0,0,25,74,102,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,98,216,310,0,0,3,103,226,327,0,8,11,27,50,77,0,0,0,26,61,86,11,18,25,107,147,255,395,396
ILOC10401701,20,18,36,93,93,183,4,3,7,116,114,226,91,93,189,356,320,670,11,12,24,460,423,877,55,67,128,275,272,545,4,4,11,336,342,684,0,0,0,10,15,22,0,0,0,12,15,26,0,9,7,7,27,29,0,0,0,8,29,39,7,8,14,29,35,64,0,0,0,36,39,74,7,10,10,19,65,90,0,0,0,24,75,101,0,0,0,0,3,3,0,0,0,0,4,3,14,19,37,66,146,207,4,0,4,81,164,244,0,5,5,11,24,33,0,0,0,11,29,35,0,3,4,8,25,36,0,0,0,12,28,41,0,0,0,9,13,20,0,0,0,9,13,21,0,0,0,11,45,58,0,0,0,17,49,57,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,36,108,146,0,0,0,43,115,157,6,0,6,9,25,37,0,3,3,15,31,42,38,43,80,128,148,282,287,286
ILOC10401702,3,0,6,13,8,19,0,0,0,14,11,22,12,10,20,31,34,67,0,0,0,44,42,87,8,4,15,14,29,44,0,0,0,22,36,59,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,16,0,0,0,9,14,15,0,0,0,3,3,6,0,0,0,3,8,11,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,10,17,0,0,0,8,12,22,0,0,4,0,3,5,0,0,0,0,6,9,3,7,11,17,19,32,50,52
ILOC10401703,7,15,22,76,94,163,0,0,0,83,106,187,37,34,69,403,391,789,15,12,25,452,433,886,18,26,48,331,318,652,10,4,9,363,347,714,0,0,0,13,12,24,0,0,0,13,9,26,0,4,4,0,17,15,0,0,0,0,14,18,3,0,3,32,28,65,0,0,0,37,28,69,0,0,0,17,54,73,0,0,0,23,54,75,0,0,0,0,0,4,0,0,0,0,0,4,3,3,6,69,108,176,0,0,0,74,107,189,0,0,0,12,32,48,0,0,0,12,34,48,0,0,0,8,17,32,0,0,0,8,21,30,0,0,0,0,10,11,0,0,0,0,9,11,0,3,3,24,44,70,0,0,0,24,46,70,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,45,106,153,0,0,0,45,115,157,0,3,3,5,27,36,0,0,0,12,24,37,12,10,23,126,141,264,399,358
ILOC10401801,29,19,47,212,207,418,3,10,6,241,235,471,101,109,211,935,935,1870,11,14,30,1048,1062,2102,59,84,144,747,724,1470,14,8,16,815,815,1634,0,0,0,13,29,45,0,0,0,13,29,45,0,5,4,9,21,33,0,0,0,14,22,35,10,4,20,103,53,159,0,0,0,112,60,175,0,11,11,66,139,206,0,0,0,68,155,217,0,0,3,0,0,4,0,0,0,3,3,3,18,21,38,193,245,440,0,0,3,209,267,475,4,4,8,80,100,172,0,0,0,86,105,187,0,3,3,21,40,52,0,0,0,16,40,58,0,0,0,21,33,51,0,0,0,22,36,57,0,3,4,61,126,184,0,0,0,64,126,187,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,177,291,469,0,0,4,185,305,492,3,3,6,58,78,135,0,0,0,63,84,150,16,25,42,158,179,333,751,699
