ILOC_CODE_2016,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC30601702,0,0,19,19,10,6,20,271,148,421,0,0,4,289,160,444,56,62,120,1159,1084,2246,20,25,41,1236,1171,2403,18,21,43,196,191,383,0,0,4,217,207,424,28,34,61,808,748,1557,19,17,33,856,793,1651,37,34,76,486,467,952,3,0,3,528,506,1034
ILOC30601703,3,15,25,44,7,0,10,477,225,708,4,5,9,489,235,721,54,30,91,1762,1771,3530,22,37,53,1835,1839,3674,7,17,26,301,350,651,3,5,4,311,367,684,34,18,54,1215,1226,2442,9,24,33,1257,1272,2528,25,30,47,728,762,1494,8,14,16,762,801,1564
ILOC30601801,0,31,61,89,23,21,46,793,358,1154,11,3,11,827,377,1201,117,110,232,2639,2501,5138,28,27,53,2783,2640,5420,64,94,160,699,696,1393,0,6,11,764,793,1561,50,41,96,1553,1483,3036,20,17,34,1622,1539,3156,101,131,231,1531,1529,3055,13,12,25,1640,1678,3318
ILOC30601802,0,14,23,35,8,6,15,374,156,533,10,3,9,390,169,553,53,56,111,1354,1211,2565,19,12,32,1425,1278,2701,23,18,40,347,336,687,4,0,4,382,359,739,16,20,42,926,838,1761,13,10,27,961,871,1828,47,48,89,685,635,1323,5,0,8,738,685,1423
ILOC30601803,0,20,39,56,15,6,20,307,147,452,0,0,0,319,158,480,93,93,184,1389,1205,2597,17,16,32,1504,1316,2818,16,42,55,209,209,417,3,4,7,230,254,485,59,50,110,1032,854,1888,12,12,29,1100,918,2026,49,57,109,498,482,980,6,4,9,558,542,1096
ILOC30601804,0,22,51,71,24,8,32,764,317,1076,8,5,11,793,331,1121,99,88,186,2956,2777,5732,16,28,42,3077,2885,5960,36,33,74,405,398,804,7,4,10,447,438,887,56,40,98,1972,1821,3788,11,20,29,2043,1877,3920,69,78,150,1193,1148,2342,6,8,19,1272,1233,2509
ILOC30700101,0,6,11,13,19,12,26,3,0,3,0,0,0,17,14,31,87,103,188,8,0,4,0,0,0,97,103,193,12,20,32,0,4,0,0,0,0,18,21,36,70,85,158,5,0,5,0,0,0,80,85,162,20,20,43,3,4,4,0,0,0,21,24,46
ILOC30700102,0,0,4,5,19,26,46,17,3,20,0,0,0,42,28,69,151,154,308,51,45,91,0,0,0,201,198,400,28,32,58,19,7,25,0,0,0,43,39,85,120,120,237,32,27,58,0,0,0,147,145,291,44,46,96,30,23,55,0,0,0,78,70,150
ILOC30700103,0,0,0,3,3,0,3,4,0,6,0,0,0,8,3,13,17,17,40,15,8,17,8,0,9,36,24,64,12,5,14,0,0,3,0,0,3,13,3,15,17,17,40,14,4,19,9,0,7,36,25,62,8,5,11,0,0,3,0,0,0,13,7,13
ILOC30700104,0,10,24,27,74,46,120,78,25,99,3,0,3,153,68,221,443,466,906,187,171,353,7,5,15,631,639,1275,78,78,154,91,112,206,3,3,8,169,193,365,312,320,630,56,43,99,5,0,9,373,361,732,144,170,320,205,222,427,3,7,8,355,395,752
ILOC30700105,0,15,24,34,41,37,75,15,4,15,0,0,0,59,39,95,335,362,698,28,18,48,0,0,0,362,381,746,45,49,99,13,13,25,0,0,0,56,61,118,257,277,534,22,10,27,0,0,0,276,287,560,85,103,190,17,21,36,0,0,0,105,125,227
ILOC30700201,0,4,5,9,3,13,15,0,0,3,0,0,0,3,12,19,86,110,200,4,8,6,0,0,0,90,117,208,9,5,18,4,6,12,3,3,13,18,21,40,71,90,166,4,8,6,0,0,0,77,97,172,10,10,25,4,6,12,3,4,14,19,25,46
ILOC30700202,0,4,4,10,13,8,27,0,0,0,0,0,0,18,8,26,56,69,131,3,4,7,0,0,0,60,77,138,14,13,26,3,0,3,0,0,0,17,13,31,41,56,104,0,0,0,0,0,0,41,56,104,11,14,30,7,4,10,0,0,0,21,15,39
ILOC30700203,0,6,8,13,24,14,35,5,0,5,0,0,0,26,14,39,183,154,337,26,17,37,0,5,5,206,174,380,27,29,53,7,6,12,0,3,3,34,33,71,169,132,302,20,8,35,0,5,5,190,154,339,17,20,31,5,9,16,0,0,3,21,26,56
ILOC30700301,0,13,12,27,34,44,78,16,6,18,0,0,0,50,45,97,296,303,601,43,32,79,0,0,0,345,333,678,40,42,85,10,8,22,0,0,0,52,51,101,243,238,482,43,27,69,0,0,0,286,269,550,58,65,122,17,16,29,0,0,0,72,81,152
ILOC30700302,0,3,3,9,18,13,28,3,0,3,0,0,0,18,11,35,75,67,149,3,0,3,0,0,0,80,73,151,12,3,19,0,3,6,0,0,0,16,7,25,70,58,129,0,0,0,0,0,0,71,58,132,14,7,20,3,4,5,0,0,0,16,14,26
ILOC30700303,0,6,5,5,17,7,22,0,0,0,0,0,0,14,7,24,100,100,195,0,0,6,0,0,0,97,99,201,5,0,4,0,0,0,0,0,0,5,0,4,79,83,168,0,0,3,0,0,0,85,83,167,10,13,17,0,0,3,0,0,0,8,14,21
ILOC30700304,0,3,6,8,16,24,34,0,0,0,0,0,0,16,19,39,85,105,193,0,5,3,0,0,0,87,102,191,15,17,38,0,0,0,0,0,0,18,18,41,58,80,137,0,0,3,0,0,0,62,80,145,33,29,65,0,0,0,0,0,0,34,33,67
ILOC30700401,0,8,10,18,17,22,37,0,3,3,0,0,0,23,25,45,122,118,236,0,8,5,0,0,0,128,124,246,12,23,39,3,0,3,0,0,0,15,23,42,100,98,202,3,3,6,0,0,0,106,102,208,19,21,34,0,3,0,0,0,0,15,20,40
ILOC30700402,0,3,3,7,26,17,47,0,0,0,0,0,0,26,17,47,66,65,132,0,0,0,0,0,0,66,65,135,11,15,21,3,5,10,0,0,0,7,20,26,60,56,117,0,0,0,0,0,0,60,56,117,8,15,26,3,3,9,0,0,0,14,17,36
ILOC30700403,0,9,8,13,32,28,65,0,0,0,0,0,0,34,28,61,112,100,210,0,0,0,0,0,0,112,103,212,13,9,20,3,3,6,0,0,0,11,13,25,92,81,175,0,0,0,0,0,0,92,81,175,14,18,34,3,0,6,0,0,0,23,19,40
ILOC30700404,0,10,7,15,26,18,42,3,0,3,0,0,0,22,18,45,121,110,229,5,5,13,0,0,0,126,112,236,8,5,15,3,0,3,0,0,0,13,5,13,96,87,183,3,3,3,0,0,0,96,87,187,17,15,35,7,3,7,0,0,0,23,16,41
ILOC30700501,0,6,4,8,24,13,34,3,0,3,0,0,0,22,13,39,131,119,253,3,0,3,0,0,0,133,121,255,12,13,25,5,3,7,0,0,0,14,16,33,126,106,234,0,3,3,0,0,0,124,108,234,18,24,39,4,4,9,0,0,0,26,23,48
ILOC30700502,0,3,3,6,19,7,27,0,0,0,0,0,0,17,7,26,171,176,347,5,3,8,3,0,3,180,178,361,35,24,56,0,4,6,0,0,0,36,25,62,150,144,297,0,0,3,3,0,3,157,149,308,40,34,76,3,7,7,0,0,0,38,42,82
ILOC30700503,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,39,21,66,6,3,11,0,0,0,49,25,72,3,5,8,0,0,0,0,0,0,3,5,8,21,11,35,0,0,0,0,0,0,21,11,35,13,10,29,4,3,8,0,0,0,16,18,35
ILOC30800101,0,46,100,147,73,57,125,1306,543,1853,18,4,21,1396,606,2000,362,357,716,4129,3807,7935,87,84,165,4576,4239,8818,136,132,267,823,880,1703,8,13,23,966,1029,1995,202,205,406,2812,2488,5300,51,48,103,3064,2745,5807,238,232,469,1921,1990,3908,27,38,65,2186,2254,4436
ILOC30800201,0,29,50,79,40,25,63,929,367,1290,7,5,15,972,394,1369,205,223,424,2923,3015,5942,29,34,63,3154,3275,6432,84,74,162,428,440,869,3,3,9,522,523,1042,107,121,231,2149,2190,4339,21,30,49,2273,2345,4623,149,154,300,1061,1145,2204,12,4,14,1217,1308,2525
ILOC30800202,0,20,45,65,16,16,32,1104,361,1465,10,0,16,1130,382,1513,109,130,244,3543,3222,6769,53,37,88,3703,3387,7098,31,36,68,412,368,781,4,3,5,446,411,859,65,74,138,2748,2468,5217,43,31,74,2853,2570,5427,68,69,136,1044,973,2020,12,7,10,1120,1046,2168
ILOC30800301,0,43,42,81,45,28,70,647,283,922,12,0,12,697,309,1007,290,302,589,2575,2759,5336,33,38,70,2900,3097,5994,128,114,237,464,510,973,6,9,13,599,626,1231,138,133,277,1691,1804,3501,28,22,49,1860,1962,3824,246,232,477,1212,1341,2556,13,22,30,1464,1594,3060
ILOC30800401,0,15,40,50,18,15,33,599,230,831,7,0,9,625,246,870,106,113,218,2247,2107,4350,42,24,68,2393,2244,4637,35,30,62,321,321,641,3,3,6,359,355,713,67,76,150,1689,1502,3195,34,20,53,1791,1605,3388,47,52,104,752,795,1548,11,6,15,811,854,1665
ILOC30800501,0,11,44,50,18,6,26,917,294,1215,9,3,16,944,307,1253,149,79,230,2691,2477,5166,39,33,70,2882,2590,5471,58,17,81,215,259,478,3,3,7,279,282,558,63,55,118,2156,1974,4136,39,26,68,2257,2062,4317,118,40,161,647,673,1319,5,3,6,766,717,1486
ILOC30800502,0,15,34,43,18,15,35,506,175,676,4,0,8,526,192,719,122,141,261,1534,1563,3099,17,16,38,1670,1722,3390,27,28,53,191,192,382,0,0,0,218,216,436,69,77,143,1164,1203,2367,15,12,27,1245,1289,2534,70,78,143,488,496,985,3,3,3,557,574,1134
ILOC30800601,5,233,536,768,342,194,533,10574,4220,14790,65,20,86,10980,4436,15409,1520,1575,3093,27934,28031,55966,248,270,522,29705,29870,59580,503,612,1110,6036,6578,12619,40,50,90,6573,7245,13816,806,816,1622,17558,17269,34828,184,178,358,18550,18258,36809,979,1148,2128,14894,15897,30789,77,121,200,15944,17166,33113
ILOC30800701,0,25,69,99,31,29,61,1780,540,2327,17,3,17,1831,574,2406,152,165,316,5152,4635,9790,60,64,121,5372,4858,10229,37,37,68,481,480,958,11,6,16,523,520,1045,107,124,229,3919,3469,7390,37,37,76,4062,3633,7692,67,59,131,1495,1439,2932,26,20,47,1589,1520,3108
ILOC30800801,0,27,56,84,20,13,34,1172,442,1608,3,5,11,1197,462,1654,118,111,228,3302,3084,6391,31,58,86,3455,3259,6712,18,38,61,411,486,901,7,3,7,445,526,969,60,59,119,2125,1873,3994,17,26,46,2205,1957,4157,60,81,141,1344,1467,2814,13,23,41,1414,1569,2988
ILOC30800901,0,36,31,69,76,72,155,6,5,10,0,0,0,86,81,170,1034,1060,2088,41,35,79,0,0,0,1075,1094,2167,60,65,126,16,22,39,3,0,3,84,90,172,911,879,1788,18,15,27,0,0,0,930,890,1819,83,99,184,35,46,82,3,0,3,127,148,266
ILOC30801001,0,85,151,234,41,23,67,2766,1090,3849,33,6,39,2842,1121,3961,195,205,397,6928,6365,13288,100,84,187,7217,6654,13870,76,83,159,1879,1961,3835,28,16,48,1984,2055,4037,111,101,207,4096,3667,7754,53,50,102,4257,3812,8064,131,155,289,4254,4271,8525,57,43,100,4441,4468,8910
ILOC30801101,0,34,78,114,46,38,83,1582,533,2117,12,3,18,1647,577,2221,265,267,530,4294,3988,8285,54,48,105,4612,4301,8917,72,71,142,564,601,1162,3,5,8,639,678,1311,154,124,282,3001,2672,5667,37,36,70,3195,2834,6028,146,168,307,1614,1694,3305,13,20,35,1770,1882,3649
ILOC30801201,3,275,475,746,391,345,738,8332,4268,12605,40,18,56,8762,4636,13401,2065,2198,4259,24018,24711,48729,195,183,378,26281,27090,53369,711,772,1484,5655,6261,11917,33,41,77,6401,7075,13475,1010,1074,2080,14064,14323,28386,118,124,242,15195,15512,30706,1379,1557,2934,13958,15289,29250,82,92,171,15427,16934,32360
ILOC30801301,9,364,546,907,345,306,651,9600,4200,13805,42,18,66,9993,4530,14524,1904,2058,3958,31742,32067,63811,216,246,463,33867,34362,68233,748,818,1567,8684,8890,17571,54,48,105,9488,9759,19246,1004,1056,2060,19206,19173,38379,155,184,344,20373,20414,40780,1370,1558,2922,20024,20688,40713,92,111,202,21489,22351,43842
ILOC30801401,0,11,47,56,25,12,37,947,307,1256,10,3,12,982,323,1302,101,112,214,2440,2173,4614,51,36,90,2587,2323,4917,24,23,49,323,338,658,3,4,8,350,367,716,64,62,133,1698,1497,3192,30,24,54,1798,1588,3380,44,64,112,936,917,1860,16,12,36,1004,996,2003
ILOC30801402,0,11,42,58,21,11,35,959,308,1265,16,0,18,991,325,1315,74,78,156,2762,2496,5255,39,29,73,2879,2610,5485,20,20,32,388,402,792,7,0,9,407,427,839,53,50,102,1932,1745,3674,36,22,57,2014,1816,3828,32,47,77,1093,1077,2175,13,5,16,1137,1129,2265
ILOC30801501,0,21,42,65,15,17,34,917,317,1233,11,5,10,941,337,1277,144,140,289,2697,2409,5107,53,42,95,2896,2597,5494,51,48,93,515,482,1001,9,8,19,571,536,1109,87,77,167,1942,1724,3668,39,32,68,2070,1838,3905,89,93,183,1128,1064,2196,14,13,32,1234,1177,2409
ILOC30801502,0,0,0,0,10,4,16,5,3,9,0,0,0,15,5,24,47,45,99,14,14,31,0,0,0,66,57,124,6,0,6,0,3,3,0,0,0,6,3,10,40,35,76,14,12,21,0,0,0,54,43,98,17,9,22,3,8,9,0,0,0,14,10,29
ILOC30801503,0,14,20,30,7,6,13,191,76,265,0,3,5,200,87,285,94,121,215,749,641,1386,12,11,21,857,769,1622,22,16,37,158,152,307,3,0,3,184,166,350,50,69,121,536,462,993,12,5,17,599,535,1129,50,53,107,326,307,633,3,0,4,383,360,743
ILOC39499494,0,43,61,102,62,21,80,1317,481,1800,11,4,12,1395,508,1898,113,60,173,1477,1056,2532,19,14,31,1610,1127,2737,156,132,289,3404,3151,6553,37,31,70,3598,3312,6907,97,45,137,937,583,1519,13,13,27,1044,637,1684,160,130,294,3808,3519,7334,35,25,66,4011,3681,7693
ILOC39799797,0,0,0,0,0,0,0,11,6,18,0,0,0,11,6,18,0,3,3,46,55,104,0,0,0,52,57,102,0,0,0,6,12,25,0,0,0,6,17,22,0,3,3,33,45,78,0,0,0,33,49,84,0,0,0,25,17,43,0,0,0,25,21,45
ILOC40100101,0,72,62,138,8,9,20,763,461,1219,3,10,8,772,476,1248,47,38,83,6212,6047,12261,37,49,90,6302,6142,12438,38,71,101,3261,3337,6603,17,15,34,3312,3422,6733,20,18,35,2783,2712,5494,21,23,45,2820,2751,5574,57,81,140,6556,6581,13138,36,33,67,6647,6696,13345
ILOC40100102,0,77,93,167,22,7,31,1686,798,2488,6,6,11,1715,812,2527,85,72,151,10643,10827,21469,75,80,153,10799,10972,21777,22,27,52,2026,1997,4022,10,12,22,2058,2039,4094,51,41,93,7228,7602,14830,43,58,103,7332,7696,15027,49,60,107,5027,4928,9952,29,16,43,5107,5002,10110
ILOC40100201,0,92,158,248,16,15,27,3290,1371,4664,27,10,40,3332,1398,4726,81,67,149,15262,15433,30687,144,136,283,15486,15640,31127,8,12,19,1586,1707,3293,11,12,25,1606,1729,3338,56,43,103,11635,11565,23205,117,109,227,11813,11721,23532,30,32,63,4714,5025,9745,30,32,62,4778,5093,9868
ILOC40100202,4,140,256,404,21,22,40,3373,1808,5184,32,16,43,3427,1846,5272,123,131,258,12647,13344,25992,122,141,257,12896,13610,26506,37,48,88,2217,2393,4610,31,24,50,2284,2465,4746,63,71,130,8476,8800,17279,84,88,171,8621,8950,17574,73,90,157,5665,6245,11916,57,54,108,5789,6386,12181
ILOC40100301,6,192,356,547,47,32,77,4934,2475,7408,44,15,57,5019,2518,7544,232,210,446,18116,17898,36020,197,210,402,18543,18322,36866,68,39,106,2112,2213,4320,11,21,36,2188,2269,4461,143,129,272,13045,12691,25741,136,132,266,13324,12956,26280,125,106,230,6264,6605,12872,61,75,127,6451,6777,13232
ILOC40100401,0,21,34,58,11,7,20,387,185,580,4,0,10,410,202,608,72,82,156,1573,1544,3116,25,19,43,1667,1647,3317,11,16,32,204,206,412,0,0,4,220,226,447,61,63,120,1162,1128,2289,26,19,46,1246,1208,2458,19,35,50,543,551,1095,3,4,9,567,590,1158
ILOC40100402,0,29,51,79,20,10,30,572,301,875,8,3,7,604,312,915,106,102,208,2373,2415,4782,33,40,79,2514,2550,5065,37,29,59,367,352,720,4,5,12,404,390,800,63,69,132,1798,1791,3591,23,31,54,1888,1891,3778,54,46,105,832,867,1707,13,13,21,898,930,1832
ILOC40100501,0,137,208,341,26,22,41,3826,1863,5688,33,8,44,3888,1885,5774,114,109,225,20002,21254,41248,171,173,351,20287,21538,41824,27,33,59,3125,3192,6315,17,16,31,3165,3241,6406,67,83,157,14189,15278,29464,125,136,260,14387,15493,29881,58,55,115,8142,8486,16625,46,44,89,8246,8586,16840
ILOC40100502,3,85,125,212,15,14,26,1915,927,2851,11,4,14,1939,946,2887,76,78,150,12544,13799,26336,74,88,162,12687,13964,26654,24,21,51,2830,3020,5848,14,12,33,2871,3058,5933,55,49,99,8158,9121,17282,55,61,115,8263,9231,17498,39,51,87,6853,7321,14179,28,39,69,6922,7413,14331
ILOC40100601,0,101,151,253,31,16,43,3018,1235,4255,29,4,36,3081,1258,4336,101,133,234,12034,12720,24753,100,103,200,12238,12949,25185,31,56,95,1964,2070,4034,18,14,28,2017,2137,4152,63,58,126,8569,9076,17648,74,73,150,8703,9213,17916,71,112,182,5112,5374,10486,38,25,66,5215,5520,10737
ILOC40100602,0,83,98,176,21,14,29,2118,947,3065,17,3,22,2149,971,3116,104,131,234,8781,9223,18009,56,75,134,8943,9431,18377,28,25,47,1540,1562,3101,10,7,14,1572,1590,3166,63,84,149,6048,6382,12430,42,55,106,6155,6526,12685,55,54,107,3886,4019,7909,13,25,41,3959,4099,8057
ILOC40100603,0,88,142,228,27,30,54,2364,1041,3410,16,6,26,2412,1081,3494,120,139,256,9755,10586,20333,104,123,224,9972,10844,20815,40,46,89,1470,1531,3006,21,21,44,1532,1607,3136,81,97,178,7208,7783,14986,77,92,164,7368,7967,15330,57,76,135,3644,3972,7615,41,39,77,3743,4089,7831
ILOC40100604,0,126,148,275,34,32,66,2325,1249,3574,17,4,24,2374,1279,3656,217,194,411,11096,11522,22616,87,84,171,11404,11798,23204,49,44,90,2350,2318,4665,13,12,25,2411,2373,4783,135,116,252,7339,7555,14893,62,68,127,7531,7734,15269,110,106,218,5650,5719,11365,34,34,66,5783,5862,11647
ILOC40100701,4,230,406,636,53,47,102,5496,2637,8135,53,35,89,5604,2717,8322,265,255,515,18727,19800,38528,217,268,483,19211,20323,39528,77,95,168,2932,3238,6171,36,45,78,3042,3370,6410,130,134,261,12882,13392,26275,167,183,349,13175,13709,26885,174,183,360,8195,9010,17206,71,101,169,8442,9300,17737
ILOC40100801,3,127,208,341,25,24,47,2575,1577,4159,22,8,25,2623,1610,4231,119,156,275,9229,9844,19071,90,105,195,9437,10099,19536,45,56,101,1706,1933,3638,18,17,38,1770,2004,3774,72,92,166,6132,6470,12611,69,71,139,6278,6635,12911,73,103,182,4384,4910,9298,33,42,80,4493,5058,9552
ILOC40100901,4,115,165,278,17,12,28,2818,1326,4147,17,4,22,2848,1349,4200,80,79,161,12682,14071,26752,81,85,162,12841,14229,27073,32,36,71,2431,2599,5031,9,14,21,2476,2649,5127,48,46,89,8373,9407,17787,59,70,126,8478,9523,18000,58,68,127,6406,6975,13380,25,32,54,6479,7073,13554
ILOC40100902,0,210,273,487,28,34,65,4516,2129,6648,10,17,32,4554,2181,6736,216,200,419,21166,22298,43461,127,157,286,21505,22657,44157,59,60,116,4403,4618,9023,21,22,41,4474,4706,9183,131,111,241,14027,15036,29063,79,117,204,14243,15269,29512,119,133,250,10775,11153,21923,57,39,99,10946,11320,22269
ILOC40101001,0,38,83,125,8,12,18,1010,604,1611,11,5,12,1034,614,1646,77,96,173,4338,4340,8677,63,55,120,4481,4492,8974,30,45,67,494,607,1103,12,3,17,537,649,1186,44,55,94,3240,3177,6416,45,42,81,3323,3270,6593,49,69,110,1378,1543,2919,23,18,42,1446,1626,3071
ILOC40101002,0,35,72,106,12,4,22,1092,432,1527,3,0,4,1115,443,1558,83,55,141,3603,3213,6819,54,33,89,3741,3305,7047,15,11,34,481,473,952,4,0,9,502,487,994,50,31,83,2719,2385,5109,40,31,70,2820,2444,5258,40,31,68,1233,1177,2411,11,3,17,1281,1214,2497
ILOC40101101,3,158,189,348,41,25,64,3233,1529,4761,23,15,38,3295,1572,4865,188,178,367,13392,14968,28356,104,124,225,13680,15269,28948,64,56,124,2717,2970,5689,17,22,39,2793,3053,5845,121,110,228,9014,10006,19019,81,85,162,9215,10200,19410,110,114,229,6550,7426,13976,30,54,86,6690,7597,14286
ILOC40101102,0,118,152,274,19,15,33,2309,1175,3479,9,3,12,2334,1198,3531,104,128,231,10081,10987,21062,76,90,165,10255,11202,21461,29,39,66,2099,2196,4292,15,10,25,2146,2244,4387,65,78,144,6513,7152,13670,52,62,112,6624,7293,13924,61,76,135,5214,5679,10893,32,39,68,5301,5792,11090
ILOC40101103,3,82,134,221,17,8,27,2573,1209,3781,12,9,22,2609,1221,3823,74,64,132,9195,9501,18692,55,57,117,9317,9622,18941,24,24,49,1079,1106,2183,13,8,18,1115,1137,2247,46,25,74,6734,6882,13615,40,44,84,6824,6954,13774,34,52,91,3162,3374,6539,23,19,39,3220,3442,6664
ILOC40101201,3,117,202,317,58,63,125,1884,1151,3030,15,8,21,1962,1216,3178,319,325,644,7303,7511,14811,110,99,206,7735,7932,15663,89,104,191,1417,1463,2876,15,11,31,1517,1580,3094,194,190,380,4913,4967,9879,86,69,156,5193,5226,10414,166,194,358,3466,3650,7120,40,30,66,3667,3884,7549
ILOC40101301,0,0,0,6,3,6,15,77,37,109,0,0,0,80,41,124,33,50,85,274,293,568,7,9,20,313,356,668,7,3,13,28,37,71,3,0,3,37,48,87,23,30,56,193,209,408,6,10,18,226,256,479,15,18,29,99,113,212,0,0,3,116,128,244
ILOC40101302,0,46,60,111,18,5,21,624,349,975,7,4,12,649,360,1006,80,68,149,3051,2793,5846,40,32,72,3174,2892,6064,10,18,33,356,353,710,8,3,8,374,375,747,51,45,100,2335,2097,4435,30,26,57,2420,2169,4583,28,30,66,923,891,1817,12,7,22,967,934,1896
ILOC40101303,0,0,0,0,8,3,18,0,0,0,0,0,0,8,3,18,42,42,88,0,0,0,0,0,0,42,48,89,3,10,14,0,0,0,0,0,0,3,10,14,34,32,67,0,0,0,0,0,0,34,36,73,11,13,20,0,0,0,0,0,0,11,13,20
ILOC40101401,5,464,767,1231,85,96,180,11361,5746,17105,68,40,112,11514,5877,17393,475,522,994,38503,39972,78471,269,327,595,39244,40819,80059,115,139,255,4786,5094,9877,35,30,62,4929,5263,10190,279,291,569,28523,29361,57889,218,243,460,29024,29898,58922,252,313,562,13268,14447,27707,76,82,166,13596,14841,28433
ILOC40101402,0,94,192,285,32,29,64,2055,1180,3238,18,6,28,2106,1219,3323,201,189,389,6897,7159,14059,77,83,162,7177,7434,14610,52,59,108,1289,1264,2552,12,20,32,1352,1339,2692,107,104,215,4726,4827,9552,64,62,123,4898,4994,9890,106,118,228,3113,3276,6392,28,31,55,3248,3426,6673
ILOC40101403,4,249,413,662,40,42,84,5708,2830,8541,45,24,69,5793,2897,8689,276,265,540,18580,19398,37982,234,248,477,19096,19908,38998,49,74,122,3012,3383,6396,22,30,55,3079,3490,6569,146,131,275,12119,12379,24495,138,146,284,12404,12655,25054,128,172,297,8438,9344,17776,80,100,182,8647,9609,18256
ILOC40101501,6,140,211,356,37,54,92,1368,1077,2445,5,3,10,1414,1133,2543,264,305,569,6215,6324,12542,69,83,147,6553,6709,13259,77,94,168,1224,1370,2590,13,13,27,1318,1470,2793,113,122,234,3685,3628,7315,30,45,75,3826,3799,7626,180,214,393,3138,3409,6548,31,31,62,3345,3658,7003
ILOC40101502,0,151,246,394,33,31,60,2973,1701,4669,28,6,37,3028,1739,4768,214,214,432,10415,10489,20906,88,80,161,10711,10785,21501,52,71,124,1563,1660,3219,11,14,27,1626,1747,3370,129,131,254,7363,7198,14562,55,56,112,7545,7381,14929,108,134,241,4001,4487,8489,34,28,62,4143,4650,8796
ILOC40101503,3,210,294,504,56,62,120,2012,1273,3286,18,17,35,2090,1356,3439,460,457,917,9302,9361,18668,138,137,279,9905,9962,19862,116,147,265,1797,1936,3736,24,34,54,1937,2116,4053,234,235,469,6112,6132,12245,93,90,184,6439,6463,12900,264,289,549,4290,4483,8777,58,43,93,4610,4816,9425
ILOC40101504,0,105,178,285,28,25,53,1664,1042,2704,9,4,16,1699,1075,2776,147,145,289,6356,6390,12748,65,62,128,6570,6602,13169,39,40,80,1231,1338,2572,6,7,15,1277,1389,2666,69,59,132,3809,3733,7543,46,41,87,3925,3830,7751,94,105,198,3256,3522,6777,20,20,43,3371,3649,7014
ILOC40101601,0,111,188,299,60,50,111,3076,1497,4570,16,10,31,3153,1560,4711,281,331,610,10738,11393,22128,89,106,193,11102,11831,22931,100,65,168,1530,1728,3257,14,12,27,1635,1811,3449,175,209,378,7744,8179,15925,66,82,153,7984,8469,16451,170,152,321,4187,4630,8811,20,26,52,4375,4812,9188
