ILOC_CODE_2016,IAD_HHs_with_Ind_p,IAD_Oth_households,IAD_Tot_households,INAD_HHs_with_Ind_p,INAD_Oth_households,INAD_Tot_households,IA_NS_Indig_per,IA_NS_Oth_households,IA_NS_Tot_households,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC20100701,339,46831,47165,40,5290,5327,19,1154,1174,389,53277,53669
ILOC20100801,220,25225,25446,48,4106,4156,7,876,886,276,30202,30481
ILOC20100802,218,35713,35928,39,6357,6393,7,1186,1195,265,43250,43515
ILOC20100901,257,34757,35005,38,4060,4097,12,841,857,310,39655,39962
ILOC20101001,95,31046,31142,11,3169,3181,7,699,711,117,34916,35037
ILOC20101002,168,53982,54151,16,4484,4503,4,1191,1201,193,59656,59849
ILOC20101003,305,84215,84528,36,9271,9300,12,2175,2192,357,95664,96022
ILOC20101101,165,20557,20716,49,2951,2996,8,606,612,217,24112,24325
ILOC20101102,100,34787,34895,16,4234,4252,3,945,949,127,39970,40099
ILOC20101103,112,18105,18221,9,1206,1213,5,322,324,128,19629,19759
ILOC20101104,127,17388,17510,20,2160,2182,6,402,408,154,19950,20098
ILOC20101201,231,50819,51048,31,4223,4254,8,1697,1707,269,56742,57019
ILOC20101202,203,39261,39472,52,4420,4467,23,1147,1172,282,44830,45110
ILOC20101203,211,31492,31702,42,3487,3530,11,1018,1022,260,35993,36254
ILOC20101301,475,35569,36043,71,4437,4511,13,1140,1153,557,41144,41704
ILOC20101401,79,21722,21802,12,2584,2589,3,568,564,93,24865,24964
ILOC20101402,48,14506,14554,8,2255,2262,3,493,495,62,17243,17306
ILOC20101403,42,17398,17444,7,2074,2087,3,425,427,55,19905,19952
ILOC20101501,160,15691,15854,42,3817,3861,13,864,875,212,20375,20587
ILOC20101502,175,18254,18433,16,2384,2398,9,531,542,198,21173,21372
ILOC20101503,147,16197,16342,25,3046,3068,6,473,478,170,19718,19895
ILOC20101504,113,15213,15322,20,3963,3983,10,637,642,147,19808,19952
ILOC20101601,212,11710,11922,36,1828,1862,9,369,377,256,13908,14165
ILOC20101602,197,16869,17068,50,3813,3857,12,759,774,250,21439,21695
ILOC20101603,113,19039,19154,21,2275,2295,0,488,487,139,21801,21939
ILOC20101701,169,17012,17180,26,2585,2617,6,475,482,204,20077,20277
ILOC20101702,314,26392,26707,98,6512,6610,31,1107,1141,449,34009,34457
ILOC20101703,611,52804,53414,83,8556,8642,28,1598,1622,717,62954,63678
