ILOC_CODE_2016,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC40100402,20,796,3,813,20,455,3,479,17,482,4,502,9,164,3,180,10,204,0,214,0,14,0,14,8,81,153,246,89,2191,170,2453,13,924,13,949,13,470,4,491,22,427,3,461,7,143,0,153,6,193,3,202,0,18,0,18,11,121,158,291,85,2307,186,2571,34,1718,14,1764,37,918,8,965,42,913,13,965,20,305,6,332,17,396,3,418,0,36,0,36,24,208,312,539,171,4496,353,5027
ILOC40100501,40,11438,63,11542,17,2755,27,2800,21,2081,17,2118,10,568,13,584,4,1254,12,1268,0,213,0,213,3,440,568,1015,89,18739,701,19537,53,12279,69,12394,21,2725,16,2763,20,2378,16,2416,10,696,8,711,12,1695,13,1722,0,342,3,348,3,582,573,1163,116,20690,709,21512,90,23714,136,23938,34,5479,49,5559,41,4463,33,4532,18,1263,14,1293,12,2949,28,2989,0,552,3,559,8,1022,1140,2174,200,39432,1413,41048
ILOC40100502,28,9174,47,9249,9,1486,4,1501,11,1008,11,1028,3,257,3,267,4,599,4,609,6,98,0,109,0,232,627,863,62,12870,701,13628,42,10101,34,10177,17,1547,13,1578,4,1252,9,1261,3,329,5,336,3,918,12,939,0,169,3,174,4,314,660,978,76,14626,740,15439,75,19271,76,19421,23,3032,19,3075,20,2259,20,2294,5,590,10,605,8,1521,22,1551,4,266,6,280,7,546,1287,1844,136,27494,1439,29068
ILOC40100601,33,6882,44,6962,21,2185,20,2221,19,1565,17,1607,9,408,7,421,10,509,6,517,0,55,3,59,5,233,578,811,96,11834,664,12598,50,7072,38,7155,30,2047,12,2089,22,2022,26,2066,3,565,13,581,6,749,10,760,0,65,0,62,9,327,549,888,120,12838,643,13603,86,13956,77,14114,44,4231,33,4307,44,3587,37,3676,11,974,15,1001,10,1259,13,1282,3,115,3,118,13,561,1124,1701,217,24679,1306,26196
ILOC40100602,32,4735,26,4790,14,1383,10,1413,9,1113,6,1126,6,315,0,325,12,603,3,623,0,113,0,115,3,245,348,605,77,8517,398,8994,39,5118,31,5184,20,1222,13,1256,17,1081,12,1114,9,346,8,362,3,837,11,858,0,193,0,193,5,259,373,644,101,9053,449,9604,66,9846,52,9975,33,2603,27,2667,30,2197,18,2244,17,663,8,685,18,1441,20,1479,0,305,0,311,14,509,727,1244,178,17574,847,18603
ILOC40100603,35,4820,35,4889,21,1662,13,1704,25,1260,14,1304,11,427,3,446,4,784,8,797,3,136,3,139,13,357,358,726,117,9438,436,9996,44,5185,40,5268,20,1534,15,1572,29,1491,20,1538,11,486,0,498,7,1081,11,1103,0,207,4,209,12,411,409,837,134,10392,510,11031,83,10003,75,10156,43,3194,30,3272,56,2748,35,2843,23,913,6,945,15,1867,24,1901,4,340,8,352,24,764,772,1562,253,19834,945,21030
ILOC40100604,72,6796,34,6894,36,1576,20,1626,43,1305,9,1358,16,446,3,465,4,753,11,765,0,209,3,212,6,316,605,927,181,11401,677,12257,74,7015,26,7115,39,1351,9,1392,37,1184,11,1233,11,446,6,463,11,1061,16,1085,3,332,3,340,11,313,541,872,188,11704,618,12506,147,13811,61,14012,67,2926,26,3022,82,2486,26,2591,27,897,6,936,20,1809,27,1853,3,548,7,556,20,629,1148,1798,366,23109,1298,24767
ILOC40100701,62,7211,60,7329,50,4051,53,4154,40,4095,36,4174,19,1306,13,1336,10,1067,25,1106,0,46,0,48,20,648,1171,1834,206,18415,1351,19979,68,8502,93,8665,52,4142,46,4242,54,4317,55,4423,21,1159,11,1189,14,969,18,994,0,34,0,35,8,825,1126,1958,212,19950,1346,21508,131,15717,148,15997,105,8197,100,8391,94,8411,97,8594,38,2464,28,2522,26,2036,41,2099,6,76,3,82,23,1473,2293,3790,421,38361,2701,41485
ILOC40100801,28,3618,22,3665,26,2000,18,2042,22,1753,20,1791,8,553,8,567,4,504,10,522,0,31,0,31,3,289,472,767,93,8742,547,9379,49,4442,34,4524,34,1969,16,2015,25,1840,22,1884,13,553,3,570,16,561,6,583,3,32,0,32,3,282,466,749,140,9672,545,10361,79,8062,52,8194,56,3966,28,4054,42,3599,38,3681,20,1101,13,1139,20,1064,22,1105,3,58,0,61,7,567,938,1518,229,18420,1091,19744
ILOC40100901,38,8025,33,8093,13,2103,16,2131,20,1635,9,1665,3,356,6,362,5,383,3,390,0,86,0,90,0,319,753,1069,83,12902,824,13812,51,8914,40,9004,19,2129,10,2165,13,2096,18,2124,6,485,3,486,5,513,3,526,3,59,4,59,3,524,807,1338,89,14723,893,15702,87,16943,75,17098,31,4233,26,4299,30,3733,31,3793,6,838,8,855,5,897,12,912,4,140,3,147,3,845,1562,2409,175,27628,1712,29512
